0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,seed,complex_param,EPH,corr
,1,2.0,2,1,,,0.0,2.0,2.0,2.0,,2,,2,,,2.0,2.0,1,2.0,,0.0,2.0,,2,0,,0.0,1.0,2.0,2.0,,,0.0,,2.0,2.0,,2,2.0,1.0,1,,2.0,2.0,2,2.0,,2,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,,2.0,,,,,2.0,2,0.0,,,,,,,,0.0,0,8,1.4589308996088657,0.16169740920567652
,1,1.0,2,2,2.0,,1.0,1.0,1.0,0.0,,1,1.0,2,2.0,,2.0,2.0,0,2.0,2.0,2.0,1.0,,2,0,,,,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,,2,0.0,2.0,2,,,2.0,1,2.0,2.0,1,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2,2.0,,2.0,,0.0,,,,2.0,1,8,1.4287729196050776,-0.17046558213801175
2.0,0,2.0,1,1,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1,,1,2.0,,1.0,0.0,1,2.0,2.0,2.0,2.0,,2,1,0.0,,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,,1,2.0,1.0,2,,2.0,2.0,0,2.0,2.0,1,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,2.0,1,0.0,2.0,2.0,0.0,,,,,2.0,2,8,1.336986301369863,-0.2644122773028817
,2,2.0,1,1,2.0,0.0,2.0,0.0,1.0,2.0,,1,,1,2.0,0.0,2.0,2.0,1,1.0,2.0,,2.0,1.0,0,2,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,,1,2.0,2.0,1,,2.0,0.0,2,1.0,0.0,1,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2,,2.0,2.0,0.0,,,,,2.0,3,8,1.3306878306878307,-0.19982935253014206
,1,2.0,1,0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2,,0,2.0,,2.0,2.0,1,2.0,2.0,2.0,2.0,,2,1,,,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,,0,2.0,2.0,1,0.0,2.0,1.0,1,0.0,0.0,1,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0,,0.0,,,2.0,4,8,1.3293807641633728,-0.3480481171772396
,2,2.0,1,1,2.0,,1.0,1.0,1.0,0.0,2.0,0,,2,2.0,,2.0,2.0,1,2.0,2.0,2.0,2.0,,0,0,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,,1,2.0,2.0,1,,2.0,2.0,1,2.0,2.0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,,,2.0,0.0,2.0,1,,2.0,2.0,2.0,,,,,2.0,5,8,1.374496644295302,-0.37774927924143986
0.0,3,2.0,3,2,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1,0.0,2,3.0,,3.0,2.0,2,3.0,3.0,3.0,3.0,,2,1,3.0,,0.0,3.0,3.0,0.0,3.0,1.0,3.0,3.0,3.0,0.0,2,3.0,3.0,2,,3.0,3.0,2,2.0,3.0,2,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,,0.0,3.0,3.0,3.0,0,3.0,3.0,3.0,3.0,,,0.0,,3.0,6,8,1.5661664392905865,-0.11287260623921544
2.0,1,0.0,1,1,2.0,,2.0,2.0,2.0,1.0,2.0,0,0.0,2,2.0,,2.0,2.0,1,2.0,2.0,0.0,1.0,1.0,2,1,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2,2.0,2.0,1,2.0,2.0,2.0,0,1.0,2.0,1,0.0,0.0,0.0,2.0,1.0,2.0,0.0,,2.0,2.0,,,2.0,2.0,0.0,1,2.0,,2.0,2.0,,,,,2.0,7,8,1.3436241610738255,-0.32483931205370675
,0,2.0,0,1,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0,,1,2.0,0.0,2.0,2.0,0,2.0,2.0,2.0,2.0,,2,1,1.0,,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,,1,1.0,2.0,1,,2.0,0.0,1,1.0,2.0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2,2.0,2.0,2.0,0.0,,2.0,,,2.0,8,8,1.3693333333333333,-0.4061441375632398
2.0,1,2.0,0,1,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1,,1,1.0,,0.0,2.0,1,2.0,2.0,2.0,2.0,,0,0,2.0,,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,1,2.0,1.0,1,,1.0,1.0,1,1.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,,2.0,0.0,2.0,1,2.0,2.0,2.0,2.0,2.0,,,2.0,0.0,9,8,1.3234916559691912,-0.5459842075785554
