0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,complex_param,EPH,corr
2,3,0,3,2,2,1,1,1,2,1,2,2,0,1,2,0,1,2,1,1,2,0,2,0,2,2,2,2,2,2,1,2,0,2,1,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,0,1,1,2,2,1,3,1,0,2,2,2,2,2,3,2,0,2,1,2,0,1,2,2,2,2,2,1,2,3,1,3,0,3,1.1760722347629797,-0.4672093883001158
3,2,2,3,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,3,3,2,3,3,1,2,1,1,3,3,2,2,2,3,3,1,0,2,1,2,2,0,2,2,1,3,3,1,2,2,0,0,3,0,2,1,0,2,1,1,2,3,1,2,1,2,3,2,3,3,0,0,2,2,2,2,2,2,0,2,3,0,3,2,2,3,3,2,3,1,3,1.2352941176470589,-0.34161646457641326
3,3,0,3,2,2,1,2,2,2,2,3,1,0,0,1,0,2,2,1,1,0,3,0,2,3,2,1,2,2,2,2,3,1,2,0,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,3,2,2,2,3,0,2,2,2,3,2,1,2,2,1,2,2,1,3,2,0,2,2,3,2,2,2,2,2,2,2,1,2,0,2,2,1,2,3,2,3,2,3,1.2188940092165899,-0.4773620041438418
2,3,2,3,2,1,2,1,2,0,2,2,2,1,1,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,3,3,2,2,1,2,2,1,2,0,2,2,1,1,2,2,0,2,2,0,2,2,0,1,2,2,1,2,2,1,2,1,0,2,0,2,2,2,2,2,2,2,1,1,2,1,1,2,0,0,2,1,2,3,0,2,3,3,1.1733021077283372,-0.3979264649419897
3,3,1,2,1,2,2,2,2,2,0,3,2,0,0,1,1,2,2,1,1,2,2,2,2,2,3,1,2,2,2,3,3,2,1,0,2,2,1,2,2,1,2,1,1,2,1,0,2,2,2,2,1,0,1,2,2,2,2,2,3,2,0,2,2,1,3,1,0,3,2,2,3,2,3,2,2,2,1,1,0,2,1,3,2,2,2,2,2,0,1,2,4,3,1.178494623655914,-0.4700689168946188
2,3,1,2,1,2,2,2,1,2,0,1,2,1,2,2,2,3,3,1,0,2,1,2,3,2,2,1,0,1,1,2,2,2,0,1,2,0,1,2,0,3,1,1,1,2,2,3,1,0,3,2,0,2,0,1,2,2,3,3,3,2,2,2,2,2,4,2,2,2,2,3,2,2,0,3,2,2,2,2,3,3,1,2,3,1,1,3,2,2,3,3,5,3,1.1939655172413792,-0.37464770976978956
0,2,1,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,2,1,0,2,1,0,2,2,2,2,2,2,0,2,2,2,1,1,2,0,0,0,1,2,1,2,2,2,2,2,1,2,2,2,1,2,1,0,2,2,2,0,3,2,1,2,0,1,3,1,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,6,3,1.2219679633867278,-0.45028259268508825
3,3,1,2,2,1,2,2,2,1,2,2,2,1,2,0,2,2,0,1,1,1,0,2,2,2,3,1,2,2,2,2,2,2,2,2,2,0,1,1,1,1,2,0,1,1,1,1,2,2,2,2,2,2,2,2,2,1,0,1,2,2,0,2,2,1,0,1,1,3,1,3,3,2,3,2,2,1,0,2,2,2,0,2,1,2,2,2,2,2,2,3,7,3,1.205298013245033,-0.49054482347574097
2,0,2,0,2,1,2,2,2,2,2,0,0,2,2,1,1,2,2,0,2,1,2,2,2,3,3,2,2,2,2,2,3,3,1,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,0,2,3,3,1,3,2,2,0,2,3,2,1,2,3,1,2,1,2,3,2,3,2,3,3,2,2,2,2,2,0,2,2,3,2,3,2,0,2,0,2,3,8,3,1.2483069977426637,-0.3702409719765488
2,3,1,0,2,1,0,1,2,2,1,2,2,1,2,1,1,2,2,1,0,1,2,2,2,2,0,2,0,2,2,1,2,2,1,2,2,2,0,1,1,1,2,1,1,0,0,1,1,2,2,2,2,2,2,1,2,2,2,2,3,0,1,2,2,1,2,1,2,2,2,3,2,2,3,2,0,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,9,3,1.1615720524017468,-0.6085027346254429
2,3,1,0,1,2,1,2,2,2,2,2,1,1,2,1,1,2,2,0,1,2,2,2,2,2,2,1,1,2,3,1,2,2,0,0,1,2,1,0,1,1,2,0,1,2,2,2,2,1,1,2,2,2,2,0,0,2,2,2,3,0,1,2,2,1,3,2,2,3,2,3,2,2,4,3,2,2,2,2,2,3,1,2,2,2,2,2,2,0,3,3,10,3,1.2093023255813953,-0.47294105323286906
2,2,2,3,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,0,3,2,2,3,2,0,0,1,2,2,3,1,2,3,3,2,1,2,1,2,2,1,2,1,0,1,1,2,0,2,3,1,2,2,2,0,1,2,0,1,1,3,1,2,1,0,2,2,2,2,1,3,2,1,2,0,1,2,2,1,2,1,0,2,2,2,3,2,2,11,3,1.1964679911699778,-0.48737514990037073
3,3,1,3,2,1,1,0,0,1,2,2,0,1,0,1,1,0,2,1,1,2,2,2,2,2,3,1,2,2,2,2,2,2,2,1,2,2,2,0,1,2,2,2,1,2,2,2,1,2,2,2,2,3,2,2,2,0,1,2,0,2,1,2,2,1,3,2,0,3,2,3,2,2,3,2,1,2,2,2,3,2,0,2,2,2,2,2,2,3,2,3,12,3,1.2096069868995634,-0.6065472616670649
2,2,1,3,2,1,2,2,2,2,2,2,0,2,1,1,1,2,2,1,1,2,2,0,1,2,3,0,2,0,2,2,3,0,2,2,2,2,2,1,2,0,2,2,2,2,1,2,1,2,2,2,2,3,1,2,1,1,1,1,2,2,0,1,3,1,3,1,2,0,2,3,2,2,3,2,2,2,0,1,1,2,1,3,0,2,2,2,2,3,2,2,13,3,1.1888888888888889,-0.4215764584224054
3,3,0,2,2,2,0,2,1,2,2,2,1,1,1,1,2,3,0,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,0,2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,0,1,3,2,1,3,2,3,0,2,3,3,2,2,2,2,3,3,0,2,0,2,2,2,2,0,3,3,14,3,1.2193995381062355,-0.4497520886432872
3,2,2,3,2,2,1,1,0,0,1,2,2,1,0,1,2,2,2,2,1,1,2,3,1,1,3,2,2,1,2,2,2,2,2,2,3,3,2,2,2,1,2,2,1,2,0,1,0,2,2,2,2,3,2,2,2,1,0,0,1,0,1,1,0,1,2,1,1,2,2,2,2,3,3,3,1,2,0,2,2,2,2,2,1,2,2,2,2,3,3,2,15,3,1.1954545454545455,-0.4050785111229602
2,2,2,3,2,0,2,0,2,1,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,0,0,3,3,0,1,1,2,3,2,2,3,2,2,1,1,1,2,2,2,1,1,1,0,2,0,2,3,0,1,1,2,2,2,2,3,2,1,2,3,1,2,0,2,1,2,2,1,3,3,2,1,2,1,1,0,2,2,1,2,3,3,1,2,3,2,2,16,3,1.1771058315334773,-0.39878936939077086
