0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,seed,simple_param,EPH,corr
,2.0,,1.0,1.0,,,0.0,1.0,1.0,,,2.0,,,,,2.0,,1.0,,,0.0,2.0,2.0,1.0,0.0,,0.0,2.0,2.0,1.0,2.0,1.0,0.0,,1.0,2.0,,1.0,2.0,2.0,,,,,1.0,,,,,2.0,0.0,,0.0,2.0,2.0,0.0,,,,2.0,2.0,1.0,1.0,,0.0,2.0,,,,,,,0.0,0,0.05,1.6538461538461537,-0.03168661907039124
,,1.0,2.0,,1.0,,2.0,2.0,1.0,0.0,,2.0,,1.0,1.0,,2.0,,0.0,2.0,2.0,,1.0,,2.0,0.0,,,,,,,0.0,0.0,,1.0,,,2.0,0.0,2.0,,2.0,2.0,,,1.0,,2.0,2.0,,2.0,1.0,0.0,0.0,1.0,1.0,,,0.0,,,,,2.0,1.0,,2.0,,0.0,,,,,1,0.05,1.6040914560770156,0.15553159270885897
,0.0,,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,2.0,,,0.0,,2.0,,1.0,1.0,2.0,,1.0,0.0,1.0,,0.0,,0.0,2.0,,,0.0,,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,,1.0,1.0,0.0,2.0,,2.0,,2.0,1.0,2.0,1.0,,,1.0,,0.0,2.0,2.0,0.0,2.0,,,,2.0,2,0.05,1.52803738317757,-0.05738899913724074
,3.0,3.0,3.0,2.0,,0.0,1.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,0.0,3.0,3.0,2.0,3.0,,1.0,3.0,1.0,0.0,1.0,,2.0,,1.0,0.0,3.0,,2.0,3.0,0.0,3.0,3.0,1.0,2.0,2.0,3.0,,,0.0,3.0,1.0,0.0,2.0,0.0,,,2.0,2.0,,3.0,,3.0,,,2.0,2.0,3.0,,1.0,1.0,2.0,2.0,0.0,,,,,,3,0.05,1.8317046688382193,0.011307008121442272
1.0,1.0,2.0,2.0,0.0,,,,,2.0,,,2.0,,0.0,,,1.0,,2.0,,,,2.0,,2.0,,,,0.0,2.0,,1.0,,,2.0,2.0,0.0,,0.0,,1.0,,0.0,,2.0,2.0,0.0,0.0,1.0,1.0,,,,0.0,,2.0,,,,,,2.0,2.0,,1.0,,2.0,1.0,,,0.0,,2.0,2.0,4,0.05,1.6293532338308458,0.07225704799402355
1.0,1.0,,1.0,2.0,,,2.0,1.0,1.0,0.0,2.0,0.0,,2.0,,,,2.0,1.0,,,,2.0,2.0,0.0,0.0,,,,2.0,1.0,,2.0,0.0,0.0,2.0,0.0,,1.0,1.0,,1.0,2.0,,2.0,2.0,1.0,,1.0,,,,,2.0,1.0,2.0,0.0,0.0,2.0,1.0,,1.0,0.0,2.0,2.0,,,,2.0,2.0,,,,,5,0.05,1.5802752293577982,-0.15505193780781334
0.0,2.0,2.0,2.0,2.0,1.0,2.0,,,2.0,,,1.0,0.0,2.0,,,,,1.0,2.0,,,1.0,1.0,,,,2.0,0.0,,2.0,0.0,,2.0,,2.0,,0.0,2.0,,2.0,,,,,2.0,2.0,2.0,2.0,,2.0,1.0,2.0,1.0,0.0,0.0,,,,2.0,0.0,1.0,,1.0,0.0,1.0,,,,,,0.0,,,6,0.05,1.4675984752223634,0.440456678474044
,2.0,0.0,2.0,2.0,,,2.0,2.0,,2.0,,0.0,0.0,1.0,2.0,2.0,,,1.0,2.0,1.0,0.0,1.0,,,1.0,,,,2.0,1.0,2.0,,,1.0,2.0,2.0,,2.0,,,1.0,,1.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,1.0,1.0,,,,2.0,,0.0,,,,1.0,,,,,,2.0,7,0.05,1.6493827160493828,0.13490319675024415
1.0,0.0,2.0,0.0,2.0,2.0,,1.0,,,2.0,1.0,0.0,,1.0,1.0,0.0,,1.0,0.0,,1.0,2.0,2.0,,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,,,0.0,0.0,1.0,,1.0,1.0,1.0,2.0,,,0.0,2.0,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,,2.0,2.0,,2.0,,,2.0,,1.0,2.0,,,1.0,0.0,1.0,,,1.0,2.0,8,0.05,1.4868735083532219,0.08114317763181389
,1.0,,0.0,1.0,2.0,1.0,,1.0,,1.0,,,,1.0,,,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,1.0,,0.0,0.0,0.0,1.0,,,2.0,1.0,1.0,2.0,2.0,,1.0,,2.0,,2.0,1.0,2.0,0.0,,2.0,2.0,1.0,1.0,,2.0,,2.0,2.0,2.0,2.0,1.0,0.0,,1.0,,2.0,,2.0,,2.0,2.0,,0.0,9,0.05,1.6037079953650057,-0.44198541230225574
,2.0,0.0,0.0,1.0,1.0,0.0,,2.0,1.0,,,2.0,,1.0,,,,,2.0,0.0,0.0,,,,,0.0,1.0,2.0,,2.0,,1.0,,,2.0,,1.0,,1.0,1.0,0.0,2.0,1.0,0.0,,1.0,1.0,2.0,,2.0,2.0,2.0,1.0,2.0,,2.0,1.0,,0.0,2.0,,2.0,2.0,,1.0,1.0,0.0,2.0,2.0,,,,,2.0,10,0.05,1.5572429906542056,-0.012399396430127217
2.0,,0.0,1.0,2.0,,2.0,,2.0,0.0,1.0,,,,2.0,,,,2.0,2.0,1.0,0.0,2.0,,,2.0,0.0,,,,0.0,2.0,2.0,2.0,2.0,2.0,,1.0,,,,,2.0,2.0,,2.0,1.0,0.0,1.0,1.0,1.0,,,,1.0,,1.0,0.0,2.0,1.0,2.0,,2.0,,0.0,,,2.0,1.0,,0.0,0.0,,,2.0,11,0.05,1.5797619047619047,-0.08238687653852965
,2.0,1.0,2.0,1.0,,,0.0,0.0,,2.0,2.0,2.0,,0.0,1.0,,0.0,,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,,2.0,0.0,2.0,1.0,,,1.0,2.0,,0.0,,1.0,2.0,,1.0,,0.0,,2.0,2.0,,,,,2.0,,1.0,2.0,0.0,,2.0,2.0,1.0,,1.0,,,1.0,,2.0,2.0,,,2.0,1.0,,2.0,12,0.05,1.5737514518002322,-0.16631535871222816
,1.0,3.0,3.0,0.0,3.0,,2.0,,2.0,,,3.0,,0.0,,3.0,,,3.0,,,2.0,0.0,,1.0,3.0,,,3.0,3.0,0.0,2.0,0.0,1.0,2.0,,1.0,3.0,2.0,3.0,3.0,,,2.0,3.0,2.0,0.0,2.0,2.0,,0.0,,,2.0,3.0,2.0,,,2.0,3.0,3.0,3.0,,,3.0,,3.0,0.0,,2.0,0.0,,0.0,2.0,13,0.05,1.9166666666666667,0.004870008787975927
