0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,complex_param,EPH,corr
4.0,,0,,3,2,3,2,3,3,2,1.0,3,0,2,3,0,4.0,4.0,2,2,4,0.0,4.0,0.0,3.0,4.0,2,3.0,3,3,3,2.0,0.0,3,3,4.0,3.0,2,3,2,3,3.0,2,1,3,4,3,3,2,3,4.0,3.0,4.0,3,3,3.0,3.0,3.0,3.0,0.0,2,2,3,4.0,1,4.0,2,0,4.0,3,4.0,3.0,4.0,,3.0,0,3,3,3,0.0,3.0,3,2.0,1.0,4.0,4,3,4.0,,3.0,,0,5,1.6842105263157894,-0.4784300353693888
,,2,,3,2,3,2,1,2,3,3.0,3,1,2,1,2,3.0,3.0,2,2,3,2.0,3.0,2.0,,,2,2.0,2,3,3,3.0,3.0,3,3,,3.0,2,0,2,2,1.0,3,0,3,3,2,3,2,2,3.0,3.0,0.0,0,3,0.0,2.0,1.0,0.0,3.0,2,1,2,,1,,2,2,,3,,3.0,0.0,0.0,3.0,3,3,2,3,3.0,0.0,2,,0.0,3.0,3,3,,,3.0,,1,5,1.4750462107208873,-0.20535774970388324
2.0,,0,,2,2,2,3,2,3,2,3.0,2,0,0,1,0,2.0,2.0,1,1,0,3.0,0.0,,2.0,3.0,1,2.0,3,3,3,,2.0,2,0,3.0,3.0,2,3,2,3,2.0,2,1,2,3,3,2,2,3,3.0,2.0,3.0,3,3,0.0,,3.0,3.0,,3,2,3,3.0,2,,3,1,,3,0.0,3.0,2.0,,1.0,3,3,3,2,,2.0,1,3.0,0.0,3.0,3,1,3.0,,2.0,3.0,2,5,1.4734774066797642,-0.23514526890576606
,,3,,3,2,4,2,3,0,4,4.0,4,2,3,3,3,3.0,4.0,3,3,4,4.0,4.0,2.0,4.0,,3,4.0,3,2,4,,4.0,3,2,4.0,2.0,3,3,3,3,3.0,3,4,0,3,3,4,4,3,4.0,0.0,4.0,3,0,4.0,3.0,0.0,2.0,3.0,3,1,4,4.0,1,4.0,2,0,,0,3.0,4.0,2.0,,3.0,3,3,2,1,4.0,2.0,3,3.0,0.0,0.0,4,2,4.0,,0.0,,3,5,1.7509293680297398,-0.3064184349662296
,,1,,2,3,3,4,3,3,0,4.0,3,0,0,2,2,3.0,3.0,2,2,3,3.0,4.0,4.0,4.0,4.0,2,3.0,3,3,4,4.0,3.0,2,0,3.0,4.0,2,3,3,2,3.0,2,1,3,3,0,3,3,3,3.0,2.0,0.0,3,4,3.0,3.0,4.0,3.0,4.0,3,0,3,3.0,1,4.0,3,0,,2,3.0,4.0,4.0,,1.0,3,3,2,2,0.0,1.0,2,4.0,3.0,3.0,3,2,4.0,0.0,2.0,,4,5,1.61787072243346,-0.37244199669846745
4.0,,1,,2,3,2,3,2,3,0,3.0,2,1,2,2,2,4.0,3.0,1,0,3,3.0,2.0,1.0,4.0,3.0,1,0.0,3,3,3,4.0,2.0,0,2,1.0,0.0,1,2,0,3,1.0,1,1,2,3,3,2,0,3,3.0,0.0,3.0,0,3,3.0,3.0,3.0,3.0,4.0,3,2,3,3.0,2,4.0,3,3,4.0,3,,2.0,3.0,0.0,4.0,4,2,3,3,4.0,4.0,1,4.0,3.0,2.0,1,3,3.0,,4.0,,5,5,1.5173745173745175,-0.40240848061205103
0.0,1.0,2,,3,3,3,4,4,3,3,4.0,3,3,3,2,2,4.0,3.0,1,0,4,3.0,0.0,4.0,4.0,4.0,3,3.0,3,0,3,4.0,3.0,2,1,3.0,0.0,0,0,2,3,3.0,2,3,3,4,3,3,3,3,4.0,3.0,4.0,3,0,4.0,3.0,4.0,0.0,4.0,3,3,3,0.0,2,,2,3,4.0,4,2.0,4.0,4.0,,4.0,3,3,4,3,4.0,3.0,3,4.0,4.0,4.0,3,1,4.0,1.0,3.0,,6,5,1.7641509433962264,-0.35014329607083744
,,2,,3,2,2,3,3,2,3,3.0,2,2,1,0,1,,0.0,1,1,1,0.0,2.0,3.0,3.0,3.0,2,3.0,3,3,2,3.0,2.0,3,2,3.0,0.0,2,2,2,2,2.0,0,2,2,3,2,3,3,2,,3.0,2.0,3,3,3.0,2.0,0.0,2.0,3.0,3,0,3,,1,0.0,2,2,,3,,3.0,3.0,,,3,2,0,3,3.0,3.0,0,2.0,1.0,3.0,3,2,3.0,,3.0,,7,5,1.5416666666666667,-0.3310796815970821
4.0,0.0,4,0.0,4,2,3,3,2,3,4,0.0,0,4,4,2,2,4.0,3.0,0,3,2,4.0,4.0,2.0,4.0,4.0,4,4.0,3,3,3,4.0,,3,4,3.0,4.0,3,2,3,2,3.0,4,3,3,3,2,4,4,0,,4.0,,2,4,4.0,2.0,0.0,1.0,3.0,2,2,3,,1,3.0,1,3,4.0,4,4.0,3.0,,,4.0,3,3,3,3,0.0,4.0,3,1.0,3.0,,4,0,4.0,0.0,4.0,,8,5,1.701851851851852,-0.17658401119717915
4.0,3.0,1,0.0,3,3,0,3,2,3,1,3.0,3,1,1,2,2,4.0,4.0,1,0,3,3.0,3.0,3.0,3.0,0.0,2,0.0,3,3,3,3.0,1.0,2,2,3.0,4.0,0,2,2,2,3.0,1,2,0,0,3,2,2,3,3.0,3.0,4.0,3,3,3.0,3.0,3.0,2.0,3.0,0,2,3,3.0,2,3.0,1,3,4.0,4,4.0,2.0,3.0,,4.0,0,3,3,3,4.0,4.0,2,3.0,3.0,3.0,3,2,3.0,,4.0,,9,5,1.564575645756458,-0.5328453892603475
