0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,simple_param,EPH,corr
6.0,6.0,0.0,,2.0,2.0,4.0,3.0,7.0,4.0,1.0,7.0,4.0,0.0,2.0,4,0.0,,,3,1.0,2.0,0.0,7.0,0.0,6.0,3.0,2.0,1.0,5.0,3.0,4.0,5.0,0.0,1.0,6.0,7.0,5.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,4.0,,2.0,5.0,5.0,6.0,3.0,1.0,,1.0,1.0,,5.0,3.0,3.0,0.0,1.0,1,5.0,,1,5.0,4.0,0.0,7.0,4.0,4.0,4.0,7.0,,,0.0,4.0,4.0,3.0,0.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,5.0,,4.0,,0,0.05,2.875,-0.37753178347349436
3.0,,6.0,,6.0,3.0,6.0,6.0,5.0,3.0,2.0,4.0,6.0,5.0,7.0,3,3.0,1.0,4.0,3,6.0,7.0,7.0,5.0,6.0,4.0,,3.0,2.0,2.0,1.0,6.0,,4.0,5.0,4.0,,7.0,5.0,0.0,4.0,1.0,6.0,2.0,0.0,5.0,1.0,4.0,4.0,2.0,6.0,3.0,6.0,0.0,0.0,6.0,0.0,4.0,,0.0,,5.0,4,5.0,,2,,3.0,2.0,,5.0,2.0,6.0,0.0,0.0,6.0,5.0,3.0,2.0,4.0,5.0,0.0,2.0,,0.0,1.0,6.0,2.0,5.0,6.0,4.0,4.0,1,0.05,2.8405572755417956,-0.014675586228364975
1.0,,0.0,6.0,6.0,4.0,5.0,5.0,3.0,4.0,2.0,4.0,5.0,0.0,0.0,2,0.0,5.0,3.0,2,6.0,0.0,4.0,0.0,,4.0,,5.0,4.0,5.0,5.0,6.0,4.0,4.0,3.0,0.0,1.0,2.0,4.0,4.0,2.0,1.0,4.0,2.0,2.0,6.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,0.0,,2.0,6.0,,,5,5.0,,3,,5.0,2.0,,3.0,0.0,6.0,6.0,,6.0,5.0,1.0,5.0,3.0,,4.0,2.0,6.0,0.0,2.0,3.0,6.0,4.0,3.0,1.0,5.0,2,0.05,2.695581014729951,-0.04286616316966099
,,6.0,,6.0,4.0,3.0,1.0,3.0,0.0,3.0,4.0,4.0,5.0,2.0,4,5.0,5.0,,3,,1.0,6.0,3.0,2.0,,2.0,2.0,,4.0,5.0,4.0,6.0,3.0,1.0,3.0,2.0,,4.0,2.0,1.0,4.0,2.0,4.0,4.0,0.0,3.0,4.0,3.0,4.0,2.0,2.0,0.0,5.0,2.0,0.0,5.0,2.0,0.0,3.0,,3.0,2,3.0,4.0,3,3.0,1.0,0.0,,0.0,6.0,4.0,6.0,,3.0,2.0,,5.0,1.0,3.0,3.0,5.0,6.0,0.0,0.0,1.0,1.0,4.0,,0.0,,3,0.05,2.660377358490566,-0.046476121812687746
,5.0,6.0,3.0,1.0,4.0,6.0,6.0,7.0,6.0,0.0,8.0,5.0,0.0,0.0,6,7.0,3.0,4.0,3,3.0,4.0,7.0,4.0,7.0,7.0,,3.0,4.0,4.0,3.0,8.0,,6.0,2.0,0.0,6.0,,3.0,1.0,7.0,3.0,7.0,6.0,6.0,5.0,4.0,0.0,8.0,1.0,6.0,3.0,6.0,0.0,3.0,8.0,,4.0,5.0,3.0,,3.0,0,4.0,5.0,2,5.0,5.0,0.0,,5.0,3.0,,3.0,,8.0,4.0,4.0,5.0,1.0,0.0,2.0,4.0,,5.0,5.0,4.0,3.0,,0.0,1.0,2.0,4,0.05,2.9276729559748427,0.013040120477636455
3.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,2.0,0.0,1.0,1.0,,5.0,4,5.0,,4.0,4,0.0,4.0,1.0,2.0,,4.0,3.0,4.0,0.0,4.0,5.0,,5.0,5.0,0.0,3.0,,0.0,2.0,3.0,0.0,1.0,4.0,2.0,2.0,2.0,5.0,4.0,3.0,0.0,5.0,4.0,0.0,5.0,0.0,2.0,4.0,5.0,3.0,5.0,5.0,5.0,3,4.0,4.0,3,4.0,,,3.0,,4.0,2.0,4.0,0.0,2.0,,1.0,4.0,3.0,,5.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,,,5,0.05,2.3206611570247935,-0.1899111232890866
0.0,1.0,1.0,,5.0,4.0,3.0,1.0,3.0,4.0,3.0,6.0,3.0,6.0,5.0,2,4.0,2.0,4.0,2,0.0,3.0,6.0,0.0,1.0,4.0,3.0,5.0,5.0,2.0,0.0,6.0,,,6.0,,,0.0,0.0,0.0,1.0,3.0,,1.0,5.0,1.0,5.0,1.0,1.0,3.0,3.0,5.0,,4.0,1.0,0.0,4.0,4.0,2.0,0.0,3.0,6.0,1,6.0,0.0,3,5.0,4.0,3.0,2.0,2.0,2.0,,4.0,4.0,2.0,1.0,2.0,3.0,5.0,6.0,3.0,3.0,5.0,4.0,5.0,2.0,5.0,3.0,4.0,5.0,,6,0.05,2.688995215311005,-0.11320235449850875
3.0,5.0,1.0,,5.0,2.0,,1.0,2.0,1.0,4.0,3.0,3.0,2.0,2.0,0,3.0,5.0,0.0,4,3.0,4.0,0.0,4.0,3.0,5.0,,2.0,4.0,6.0,2.0,4.0,6.0,2.0,5.0,3.0,,0.0,5.0,1.0,3.0,2.0,1.0,0.0,2.0,1.0,,1.0,2.0,,2.0,2.0,4.0,,1.0,,3.0,3.0,0.0,2.0,6.0,3.0,0,3.0,5.0,2,0.0,3.0,1.0,3.0,2.0,,6.0,,,4.0,4.0,2.0,0.0,3.0,4.0,3.0,0.0,2.0,1.0,3.0,4.0,3.0,5.0,,5.0,,7,0.05,2.5487012987012987,-0.3340939912070707
,0.0,6.0,0.0,1.0,1.0,5.0,7.0,4.0,5.0,7.0,0.0,0.0,3.0,3.0,3,4.0,5.0,4.0,0,6.0,6.0,,7.0,2.0,2.0,7.0,5.0,,3.0,4.0,6.0,,,5.0,5.0,5.0,,3.0,2.0,4.0,1.0,7.0,5.0,4.0,3.0,3.0,1.0,,5.0,0.0,,5.0,6.0,5.0,5.0,,2.0,0.0,2.0,5.0,1.0,2,3.0,6.0,3,2.0,4.0,3.0,,6.0,5.0,6.0,,5.0,7.0,4.0,4.0,4.0,4.0,0.0,5.0,2.0,4.0,5.0,3.0,,0.0,,0.0,2.0,5.0,8,0.05,2.7917981072555205,-0.08141549185482418
6.0,5.0,2.0,0.0,3.0,4.0,0.0,5.0,,6.0,2.0,3.0,4.0,3.0,4.0,2,4.0,6.0,6.0,3,0.0,5.0,5.0,4.0,,4.0,0.0,1.0,0.0,2.0,1.0,4.0,2.0,1.0,5.0,2.0,,5.0,0.0,4.0,1.0,5.0,5.0,,3.0,0.0,0.0,,5.0,1.0,2.0,3.0,3.0,4.0,5.0,5.0,2.0,5.0,4.0,,,0.0,6,4.0,3.0,4,6.0,4.0,5.0,,2.0,1.0,4.0,4.0,,4.0,0.0,3.0,4.0,4.0,4.0,3.0,1.0,6.0,5.0,5.0,3.0,4.0,4.0,5.0,,,9,0.05,2.6525974025974026,-0.1542843177089253
