,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,betha,seed,EPH,corr
0,0,3,4,2,3.0,2,2,2,2,1,0,1,2,2,2,1,1,1,2,1,1,1,0,2,2,1,2,1,1,2,2,1,2,1,1,2,2,0.0,2,1,1,2,1,2,1,0,1,1,0,1,2,1,2,2,3,1,2,1,1,1,1,1,1,2,2,0.0,2,1.0,0,2,3,1,2,1,2.0,,1,1,1,1,2,1,1,1,0,1,2,2,0,1,3.0,2,2.0,0.4,0,1.155056179775281,-0.1612430229985404
1,1,2,0,1,2.0,2,0,1,1,1,0,1,1,0,1,1,1,0,1,2,1,1,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2.0,0,2,2,1,1,2,1,1,1,2,2,1,2,1,2,1,2,2,2,1,1,2,1,2,2,1,2,0.0,1,2.0,1,1,1,1,2,0,2.0,1.0,0,2,1,1,0,2,1,2,1,2,1,2,1,2,1.0,1,1.0,0.5,1,1.0712589073634204,-0.2641081129528763
2,2,1,2,1,1.0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,1,1,1,0,1,1,1,1,1,2,1,2,1,1,2,0,2,1.0,1,1,1,0,2,1,0,1,1,1,1,1,0,2,2,1,2,1,1,1,2,2,2,2,1,2,2,2.0,1,2.0,1,2,1,2,1,0,1.0,1.0,0,2,1,2,1,2,1,0,1,2,2,2,1,1,2.0,1,2.0,0.4,2,1.0866336633663367,-0.327438368348081
3,3,0,2,1,0.0,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,0,1,0,2,1,0,1,1,1,1,2,1,1,1,2,1,2,1.0,2,1,1,1,0,2,1,1,1,1,2,1,1,1,2,2,2,1,1,0,1,1,1,2,1,1,1,1.0,2,1.0,1,2,1,2,2,0,2.0,0.0,1,1,2,2,2,1,2,1,2,2,2,2,1,1,2.0,2,2.0,0.6,3,1.0439276485788114,-0.17126065491996226
4,4,1,0,2,3.0,1,1,1,1,1,0,2,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,3,2,2,2.0,3,2,1,1,1,2,1,2,1,0,1,1,1,0,2,2,2,1,0,2,1,0,1,1,1,1,1,2.0,1,1.0,1,1,0,1,2,0,2.0,1.0,2,1,1,2,1,2,1,2,1,2,2,2,0,2,2.0,1,2.0,0.6,4,1.0501392757660166,-0.20033075905621872
5,5,1,2,1,2.0,2,1,1,0,0,1,1,1,1,1,1,1,0,1,2,2,2,1,1,1,1,1,2,0,1,2,0,1,1,2,2,1,2.0,1,2,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,2,1,0,0,1,2.0,1,2.0,1,1,1,1,1,1,0.0,1.0,1,1,1,0,1,0,1,1,1,1,1,2,1,1,3.0,1,2.0,0.6,5,1.0666666666666667,-0.25369831905761864
6,6,1,0,1,2.0,2,1,2,1,1,1,0,1,1,2,1,1,2,1,2,1,1,2,1,2,1,0,2,1,1,1,1,1,2,2,1,2,2.0,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,2,2,0,1,2.0,1,1.0,1,1,2,1,1,1,0.0,2.0,0,2,0,1,0,0,1,1,1,0,2,2,1,1,2.0,2,1.0,0.6,6,1.0460358056265984,-0.20928324861189343
7,7,2,2,1,2.0,2,1,2,1,2,1,2,2,2,1,0,1,1,2,1,1,1,2,1,0,1,0,1,2,2,1,1,1,1,2,2,1,3.0,1,2,1,2,1,1,2,2,1,1,0,1,2,2,2,3,2,1,1,1,0,2,1,2,1,2,2,2.0,1,1.0,0,0,1,1,1,0,2.0,3.0,1,1,2,1,2,1,1,2,0,1,2,2,1,2,2.0,2,2.0,0.4,7,1.1020408163265305,-0.21789303300347204
8,8,1,2,1,3.0,1,0,1,1,0,2,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,1,2,2,2,2,3.0,2,2,1,2,1,1,2,1,2,2,2,0,2,2,1,2,2,2,2,2,1,1,2,0,2,1,0,3.0,1,2.0,0,1,2,2,2,1,1.0,2.0,1,2,1,2,1,1,1,2,0,0,0,1,1,1,3.0,0,1.0,0.4,8,1.1391304347826088,-0.220300114733587
9,9,1,1,1,3.0,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,0,2,1,1,2,1,2,1,2,1,1,0,1,1,2.0,2,1,1,0,1,1,1,1,1,2,1,1,1,1,1,0,2,0,1,0,1,1,0,1,2,1,1,1.0,0,1.0,1,2,1,1,3,1,1.0,2.0,2,2,1,2,1,1,1,1,1,1,1,2,1,2,2.0,2,0.0,0.6,9,1.062330623306233,-0.23836588400741202
