,Unnamed: 0.1,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,betha,seed,EPH,corr
0,0,0,1,1,1,1,1,2,1,1,1,0,1,1,0,1,1,1,2.0,1,2,1,1,0,2,1,2,1,1,1,2,1,1,2,1,1,2,1,0,1,1,1,2,1,1,2.0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,0,1,2,0,1,1,0,2.0,2.0,2,1,0.4,0,1.051282051282051,-0.3119395863368719
1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,2,1,2,0.0,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,0,1,1,2,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.0,0.0,1,1,0.5,1,1.0381471389645776,-0.0494559691297003
2,2,2,2,1,2,1,1,1,2,0,1,1,1,1,1,1,1,0,1.0,1,1,1,1,1,0,1,1,1,1,2,2,1,1,2,2,1,0,1,1,1,1,1,0,1,1,0.0,2,1,1,0,1,0,1,1,1,1,1,1,1,2,2,1,1,1,1,0,1,1,1,2,1,2,1,2.0,0.0,1,2,0.4,2,1.054878048780488,-0.2051858979750258
3,3,3,0,1,1,0,1,1,2,1,1,1,0,1,1,2,1,1,1.0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1.0,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1.0,0.0,1,0,0.6,3,1.0171990171990173,-0.1989529637888357
4,4,4,2,0,1,1,1,1,1,1,1,0,1,2,1,1,1,1,2.0,1,2,1,1,1,2,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1.0,1,1,0,1,1,1,0,1,1,1,1,0,1,2,0,1,1,2,1,1,1,1,1,2,1,0,1,1.0,0.0,1,1,0.6,4,1.052219321148825,-0.3416969956563206
5,5,5,2,1,1,1,1,1,2,0,0,1,1,1,1,2,1,0,0.0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,1,1,1,1,2,1,1,1,1,2.0,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,0,0,2,1,1,2,2,2,2,2,2.0,1.0,0,1,0.6,5,1.0189125295508277,-0.2971013613557364
6,6,6,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1.0,1,1,1,1,1,1,1,2,0,0,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,2,0,1,1,1,1,2,0,1,1,2.0,1.0,0,1,0.6,6,1.014792899408284,-0.2501496837800824
7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1.0,1,1,1,1,1,1,0,2,0,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,2.0,1,1,1,0,2,2,1,1,1,1,1,1,1,0,2,2,1,1,1,2,1,1,2,0,0,2,1,1.0,0.0,2,1,0.4,7,1.0583333333333331,-0.2327889854314788
8,8,8,1,2,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1.0,2,1,1,1,1,2,1,2,2,1,0,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1.0,1,1,1,1,0,0,1,2,1,1,1,1,2,1,1,2,0,2,1,0,1,1,1,0,1,2,1,2.0,2.0,1,0,0.4,8,1.0662650602409638,-0.1199265185092506
9,9,9,0,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2.0,1,1,1,1,2,0,1,2,1,1,1,1,1,1,1,1,0,1,2,1,1,2,1,0,1,1,1.0,1,1,1,1,1,1,1,1,0,1,0,1,0,2,1,0,1,2,1,1,1,0,2,2,1,1,1,1.0,1.0,2,1,0.6,9,1.0251256281407035,-0.3409547256286666
