,Unnamed: 0.1,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,betha,seed,EPH,corr
0,0,0,2,2.0,2,3.0,2,2,2,1,1,0,2,2,1,1,1,1,1,2.0,2,1,1,0,2,2,1,1,1,2,1,1,2,1,2.0,1.0,2,1,0,2,1,1,2,2,1,1,0,2,1,0,1,2,1,2,1,2.0,1,1,1,1,1,1,2.0,1,1,2,0.0,1,1.0,0,1,2.0,2,2.0,2,2.0,3.0,2,1,2,1,2,2.0,1.0,1,0,1,2,2,0,2.0,2.0,2,1.0,0.4,0,1.0969267139479904,-0.2801671266125307
1,1,1,2,0.0,1,1.0,1,0,1,1,1,0,2,1,0,1,2,1,0,1.0,2,1,1,2,2,1,2,2,2,1,2,1,1,1,2.0,1.0,1,1,1,0,2,2,2,2,1,1,1,1,1,2,1,2,1,2,1,2.0,1,1,1,1,1,1,2.0,2,1,1,0.0,1,2.0,1,1,3.0,1,1.0,0,1.0,2.0,0,1,1,1,0,2.0,1.0,1,2,2,2,2,1,2.0,1.0,1,1.0,0.5,1,1.0839506172839504,-0.2246131473083309
2,2,2,1,2.0,1,2.0,1,2,1,0,1,1,1,2,1,2,2,0,1,2.0,2,1,1,2,0,2,2,1,2,2,1,1,2,1,1.0,1.0,0,1,1,1,1,2,0,3,2,0,1,1,1,2,1,0,2,1,1,2.0,1,1,1,1,2,2,2.0,2,2,2,2.0,1,2.0,2,2,2.0,1,3.0,0,1.0,3.0,0,2,1,2,1,2.0,1.0,0,2,1,2,1,1,1.0,1.0,3,2.0,0.4,2,1.161925601750547,-0.2937286665207225
3,3,3,0,2.0,1,0.0,2,1,1,1,2,2,0,1,2,1,1,1,1,2.0,1,0,1,0,1,1,0,1,1,1,1,2,2,2,1.0,2.0,1,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,2.0,1,1,0,2,1,1,1.0,1,1,1,1.0,1,1.0,1,2,1.0,2,2.0,0,2.0,0.0,2,1,1,2,1,1.0,2.0,1,1,1,2,2,1,1.0,2.0,2,2.0,0.6,3,1.0538243626062322,-0.2179544682747519
4,4,4,1,0.0,2,3.0,1,2,1,1,2,0,1,1,2,2,1,1,1,2.0,1,1,2,1,1,2,1,1,1,2,2,1,2,1,2.0,2.0,1,2,2,1,2,1,2,1,2,2,2,1,0,1,1,2,0,2,3,2.0,1,0,1,1,0,1,1.0,2,1,1,2.0,1,1.0,1,2,0.0,2,3.0,0,2.0,1.0,1,1,1,2,2,2.0,2.0,2,1,2,2,2,0,2.0,2.0,1,2.0,0.6,4,1.06,-0.1027198140987717
5,5,5,2,2.0,2,2.0,2,1,1,0,0,2,1,1,1,1,1,1,0,1.0,2,1,1,1,1,1,1,1,2,0,1,1,0,1,1.0,1.0,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1.0,1,1,1,1,1,1,1.0,0,0,1,2.0,1,2.0,1,1,2.0,1,1.0,1,0.0,1.0,1,1,1,0,1,0.0,1.0,1,1,1,2,1,1,1.0,3.0,1,2.0,0.6,5,1.0521739130434782,-0.3545855876856768
6,6,6,1,0.0,1,2.0,2,1,2,1,1,1,0,2,1,1,1,2,2,1.0,2,1,1,2,1,2,1,0,2,1,1,1,1,2,2.0,2.0,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1.0,1,2,1,2,1,2,2.0,1,0,1,2.0,1,1.0,1,2,1.0,1,2.0,2,0.0,1.0,0,1,0,1,0,0.0,1.0,1,1,0,2,2,1,1.0,3.0,1,1.0,0.6,6,1.0526315789473684,-0.1474949722552613
7,7,7,2,1.0,1,2.0,2,2,2,2,1,2,2,2,2,1,0,1,1,1.0,1,2,2,1,1,0,2,0,1,2,2,1,1,1,1.0,,2,2,3,1,2,1,2,1,2,2,1,1,1,0,1,2,2,2,3,3.0,1,1,2,0,1,2,3.0,2,1,1,3.0,1,1.0,0,0,1.0,2,1.0,0,1.0,2.0,2,1,2,1,1,2.0,2.0,2,0,1,2,1,1,2.0,3.0,2,1.0,0.4,7,1.1370786516853932,-0.1699534307888625
8,8,8,2,1.0,1,3.0,2,0,1,1,0,1,1,2,1,1,1,2,1,2.0,2,2,1,2,1,2,2,1,2,1,2,1,1,1,1.0,2.0,2,2,3,2,2,1,1,2,1,1,1,1,2,1,0,1,2,1,1,2.0,1,2,2,2,2,1,0.0,1,1,0,2.0,1,2.0,0,1,2.0,1,2.0,2,1.0,1.0,1,1,1,1,1,1.0,1.0,1,0,0,0,2,1,2.0,2.0,0,1.0,0.4,8,1.1037735849056605,-0.3111348562463406
9,9,9,1,1.0,1,2.0,1,2,1,1,1,1,1,1,1,1,1,1,2,2.0,1,1,1,1,0,2,2,2,2,1,2,1,1,1,1.0,0.0,1,1,1,1,1,1,0,1,2,1,1,1,2,1,1,1,1,1,0,1.0,0,1,0,2,1,0,1.0,1,1,1,2.0,0,1.0,1,1,1.0,1,2.0,1,2.0,2.0,2,2,1,1,1,1.0,1.0,1,1,2,2,2,1,2.0,2.0,2,0.0,0.6,9,1.065155807365439,-0.3127237730129281
10,10,10,0,1.0,1,2.0,1,1,2,1,0,0,1,1,2,2,1,0,1,2.0,2,1,1,2,1,1,1,2,2,1,0,0,2,2,1.0,2.0,1,1,2,2,1,2,0,1,1,1,1,1,2,2,1,1,1,2,2,3.0,1,1,1,1,1,1,1.0,2,2,1,0.0,1,2.0,2,2,1.0,2,2.0,2,0.0,2.0,2,2,1,2,1,3.0,2.0,1,2,1,1,2,1,1.0,0.0,2,2.0,0.5,10,1.0929095354523228,-0.2414929540710829
11,11,11,1,1.0,1,1.0,1,2,1,1,2,2,1,2,2,0,1,1,1,1.0,2,1,1,2,1,2,2,0,2,1,1,1,1,1,2.0,0.0,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,2.0,1,0,2,2,2,2,2.0,1,1,0,1.0,1,3.0,1,1,1.0,1,0.0,1,2.0,3.0,1,0,2,1,1,0.0,0.0,1,1,2,2,2,1,2.0,3.0,1,0.0,0.5,11,1.0485933503836318,-0.2373682278403664
12,12,12,1,1.0,0,0.0,1,1,0,1,1,1,1,1,1,1,1,1,1,1.0,2,1,1,2,0,1,2,1,1,0,1,2,1,1,1.0,1.0,1,1,2,2,1,1,1,1,1,1,1,1,1,2,0,0,1,1,1,1.0,1,1,1,1,1,2,2.0,1,1,2,2.0,1,2.0,0,1,1.0,2,1.0,1,2.0,1.0,0,0,1,1,1,2.0,1.0,1,1,2,1,1,2,2.0,2.0,1,1.0,0.6,12,1.0630914826498423,-0.3496087579969323
13,13,13,1,2.0,2,3.0,1,2,1,1,2,1,1,1,1,1,1,1,0,2.0,1,1,1,1,1,1,1,0,0,1,2,1,1,1,1.0,1.0,2,1,2,2,2,1,1,1,1,1,1,1,0,1,0,2,1,2,2,2.0,0,1,2,2,0,1,1.0,2,1,1,2.0,1,0.0,1,1,1.0,2,2.0,1,2.0,0.0,2,2,1,2,2,2.0,2.0,0,1,2,2,1,1,2.0,3.0,1,2.0,0.6,13,1.0665024630541873,-0.3315688583531694
14,14,14,2,2.0,1,3.0,2,2,1,1,1,1,0,1,0,1,2,2,1,2.0,2,1,2,1,0,2,2,0,0,1,0,2,1,1,1.0,2.0,2,2,1,2,2,3,1,2,1,1,1,2,2,1,1,1,2,3,2,2.0,2,1,1,2,2,2,1.0,0,1,2,2.0,1,4.0,2,1,1.0,2,0.0,1,1.0,4.0,1,1,1,2,2,0.0,2.0,2,1,3,1,2,2,0.0,3.0,2,2.0,0.4,14,1.1543624161073829,-0.1560640570699265
15,15,15,0,1.0,1,2.0,2,0,2,1,1,2,2,1,0,1,1,1,2,2.0,2,1,1,1,2,1,2,2,1,0,0,2,2,2,1.0,2.0,1,2,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2.0,1,1,1,2,2,2,3.0,1,1,1,2.0,2,1.0,2,1,2.0,1,0.0,0,2.0,3.0,0,2,1,2,1,1.0,1.0,1,2,2,0,1,1,2.0,2.0,1,3.0,0.4,15,1.1253012048192772,-0.2482473193268463
16,16,16,1,1.0,1,2.0,0,1,1,1,2,1,2,1,1,1,1,1,0,1.0,1,1,1,1,1,2,1,1,1,1,2,1,0,0,1.0,1.0,1,1,2,2,2,1,1,0,2,2,1,2,1,1,1,2,2,1,2,1.0,2,2,2,1,0,1,2.0,1,1,1,2.0,0,2.0,1,0,0.0,1,1.0,2,2.0,1.0,1,1,1,1,1,2.0,1.0,2,1,1,2,2,1,2.0,2.0,1,2.0,0.5,16,1.0737913486005088,-0.3271676135803735
17,17,17,1,2.0,1,2.0,2,1,0,1,1,1,2,1,1,1,1,0,1,2.0,2,1,1,2,0,2,1,2,1,2,2,1,1,0,1.0,2.0,2,2,2,1,2,0,1,1,1,2,1,0,2,2,1,2,1,1,2,2.0,2,1,1,0,1,1,2.0,1,1,1,,1,1.0,1,0,1.0,2,2.0,1,2.0,2.0,2,2,1,1,1,2.0,1.0,1,1,0,2,1,2,2.0,2.0,1,2.0,0.5,17,1.0825688073394495,-0.3922060618673527
18,18,18,2,2.0,1,2.0,1,1,1,1,0,1,1,1,1,2,1,1,1,0.0,1,0,1,1,1,1,0,2,2,2,1,1,1,2,1.0,2.0,1,1,2,1,2,1,1,1,0,2,1,1,0,2,1,0,1,2,1,1.0,1,1,1,1,1,1,1.0,1,0,1,1.0,1,0.0,1,1,0.0,2,2.0,1,1.0,2.0,1,1,1,2,1,1.0,2.0,1,1,1,1,1,1,1.0,2.0,2,2.0,0.6,18,1.0545977011494252,-0.208639445069451
19,19,19,2,2.0,2,2.0,1,0,1,1,1,2,1,1,1,1,2,1,2,2.0,1,0,1,1,0,2,2,1,2,1,1,1,1,0,1.0,2.0,0,1,1,1,1,1,0,1,1,1,1,1,2,2,1,1,1,1,0,2.0,2,1,0,1,1,2,2.0,1,1,2,2.0,2,0.0,2,2,1.0,2,2.0,1,1.0,0.0,1,1,1,1,1,2.0,2.0,1,1,2,1,1,1,2.0,2.0,2,2.0,0.5,19,1.075242718446602,-0.3068506970174033
20,20,20,2,2.0,1,1.0,1,1,2,1,1,0,1,2,1,1,1,0,1,1.0,1,1,0,1,0,2,1,1,1,1,0,1,1,2,1.0,1.0,0,1,1,2,1,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2.0,2,1,2,2,1,2,1.0,1,2,2,1.0,1,2.0,1,2,2.0,1,0.0,2,1.0,1.0,0,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1.0,2.0,0,2.0,0.6,20,1.0714285714285714,-0.1729116732176233
21,21,21,2,1.0,1,3.0,0,1,1,2,1,2,2,1,1,1,1,1,1,2.0,2,2,1,2,1,1,2,1,1,1,1,1,1,1,2.0,2.0,1,0,1,2,1,2,1,1,2,2,1,1,1,1,0,1,2,1,1,2.0,2,1,0,1,1,2,0.0,1,1,0,1.0,1,3.0,2,1,1.0,1,1.0,0,0.0,0.0,1,2,2,2,0,2.0,1.0,1,1,2,1,2,2,2.0,2.0,2,1.0,0.5,21,1.0778301886792452,-0.1738966703204882
22,22,22,2,2.0,1,2.0,0,1,1,1,0,1,2,2,2,1,0,1,1,2.0,0,1,1,2,2,1,2,1,2,2,2,1,1,2,2.0,1.0,1,1,2,2,2,0,1,1,1,1,0,0,2,1,1,1,2,1,1,1.0,2,2,2,2,1,1,1.0,1,1,2,0.0,1,2.0,1,1,2.0,2,2.0,1,2.0,2.0,2,2,1,1,1,2.0,2.0,2,2,0,1,2,1,0.0,2.0,2,2.0,0.5,22,1.0790697674418606,-0.3766192194899476
23,23,23,1,2.0,1,2.0,2,1,1,1,1,2,1,1,2,1,2,2,1,1.0,2,1,1,1,1,2,1,0,1,1,1,1,2,0,1.0,2.0,2,1,2,2,2,0,0,1,2,1,1,1,1,1,1,2,1,2,2,2.0,0,1,2,2,1,2,2.0,1,1,2,1.0,1,2.0,2,1,2.0,2,1.0,1,0.0,2.0,1,0,1,1,1,2.0,1.0,1,0,2,2,2,1,2.0,2.0,0,0.0,0.6,23,1.0680100755667503,-0.350843533447644
24,24,24,2,0.0,1,0.0,0,1,1,2,2,2,1,2,2,1,1,2,1,0.0,2,1,1,1,2,2,2,2,2,1,1,1,1,2,2.0,2.0,0,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2.0,2,1,2,2,2,2,,2,2,1,0.0,1,2.0,1,1,2.0,1,2.0,2,2.0,2.0,1,1,1,1,0,2.0,1.0,0,1,1,1,2,0,2.0,2.0,1,2.0,0.6,24,1.0508905852417303,-0.2988257180516978
25,25,25,3,2.0,1,2.0,0,1,1,1,0,1,1,1,1,1,1,0,2,2.0,1,1,1,1,2,0,2,2,2,1,0,1,1,2,2.0,2.0,2,1,2,2,1,1,1,1,1,1,0,2,1,2,1,1,0,1,1,2.0,2,2,1,1,2,1,1.0,0,0,1,2.0,1,2.0,1,1,2.0,1,2.0,1,1.0,3.0,2,2,2,2,1,2.0,2.0,1,1,1,1,2,1,2.0,1.0,0,4.0,0.4,25,1.1226415094339623,-0.4193815398043204
26,26,26,1,2.0,1,3.0,1,1,0,1,1,2,1,1,1,2,1,1,1,1.0,1,1,1,2,1,1,1,1,1,2,2,2,1,1,0.0,2.0,2,1,2,2,2,2,1,1,2,1,1,1,1,1,0,2,1,1,1,0.0,2,1,2,1,1,2,1.0,1,0,1,2.0,0,1.0,1,0,1.0,1,2.0,1,2.0,2.0,1,2,0,1,1,1.0,2.0,1,0,2,2,1,1,1.0,2.0,0,1.0,0.5,26,1.078048780487805,-0.2645206171472594
27,27,27,2,3.0,0,1.0,1,1,1,2,1,2,1,2,1,0,2,1,2,3.0,3,0,1,1,1,1,0,0,2,1,1,2,2,0,1.0,2.0,2,1,2,0,1,2,1,2,1,1,1,2,2,2,1,1,2,2,1,2.0,1,1,0,1,2,2,1.0,2,2,2,2.0,1,2.0,2,2,1.0,2,3.0,0,2.0,2.0,2,2,1,1,2,2.0,2.0,1,1,1,2,1,1,2.0,2.0,3,,0.4,27,1.1674311926605505,-0.2983388907443524
28,28,28,1,0.0,1,0.0,1,0,1,1,2,2,2,2,0,1,2,2,1,2.0,2,1,1,2,0,0,2,2,1,1,2,1,2,1,0.0,2.0,2,1,2,1,2,2,1,2,1,2,2,2,2,3,1,2,2,0,1,1.0,2,1,1,2,2,3,2.0,1,2,1,0.0,1,2.0,2,1,1.0,1,2.0,1,1.0,1.0,1,1,2,1,1,3.0,1.0,1,2,2,1,1,0,2.0,3.0,2,2.0,0.5,28,1.0976744186046512,-0.0587668110801349
29,29,29,2,2.0,1,2.0,1,1,2,1,1,1,1,1,2,1,1,1,1,1.0,2,1,0,2,1,2,0,1,2,0,1,1,1,1,1.0,2.0,0,1,1,1,1,1,0,1,1,1,1,2,2,2,1,2,2,1,2,2.0,2,1,1,1,2,1,2.0,1,1,2,1.0,1,2.0,1,2,0.0,1,2.0,1,1.0,2.0,0,2,2,2,1,,1.0,1,0,1,0,1,1,2.0,2.0,2,2.0,0.5,29,1.0821256038647342,-0.3564750111919375
30,30,30,2,3.0,0,1.0,2,1,1,2,1,1,1,2,0,2,1,1,1,0.0,2,1,1,1,1,0,2,2,1,1,2,1,2,2,2.0,2.0,2,2,2,0,2,1,1,2,2,2,1,0,0,2,1,1,1,2,1,0.0,2,2,1,2,2,2,2.0,2,1,3,2.0,2,3.0,2,1,2.0,2,2.0,1,1.0,2.0,3,1,2,1,1,2.0,2.0,1,1,2,2,1,2,3.0,2.0,2,2.0,0.5,30,1.134433962264151,-0.2545121728559176
31,31,31,2,2.0,1,2.0,1,2,0,1,1,1,1,2,1,1,1,1,0,1.0,1,1,1,1,2,0,2,2,1,1,0,1,2,1,2.0,1.0,1,2,2,1,1,1,1,1,0,1,1,1,0,2,1,1,2,2,1,2.0,1,1,1,1,0,1,1.0,1,1,1,2.0,1,2.0,1,1,2.0,2,2.0,1,1.0,1.0,2,2,1,1,1,2.0,1.0,0,2,1,1,1,0,2.0,2.0,1,2.0,0.6,31,1.0486486486486486,-0.418148354470409
32,32,32,2,2.0,1,0.0,1,0,1,1,1,1,2,1,1,1,2,1,1,2.0,1,0,1,1,2,1,1,1,2,1,1,2,1,2,2.0,2.0,1,1,2,1,1,1,1,1,1,0,1,1,2,2,1,2,1,2,2,1.0,0,2,1,1,2,1,2.0,2,0,1,2.0,1,2.0,1,1,2.0,1,0.0,2,1.0,1.0,1,1,1,1,1,2.0,1.0,1,1,1,2,2,0,0.0,0.0,1,2.0,0.5,32,1.066326530612245,-0.3066526108250528
33,33,33,2,1.0,2,2.0,1,1,1,0,2,1,1,1,2,1,1,1,1,2.0,0,1,0,1,1,2,1,1,1,1,1,1,2,2,2.0,2.0,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,2,1,2.0,1,1,2,0,2,1,1.0,0,1,2,2.0,1,0.0,0,1,2.0,2,2.0,2,0.0,3.0,2,1,1,2,1,2.0,2.0,2,0,1,2,1,2,0.0,2.0,2,2.0,0.4,33,1.096698113207547,-0.2896879387421874
34,34,34,2,2.0,2,2.0,2,1,2,1,1,2,2,0,2,1,1,2,1,1.0,0,2,1,1,2,2,2,1,1,1,1,0,1,1,1.0,0.0,2,0,1,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,1,2.0,1,2,2,1,1,2,2.0,2,1,2,2.0,1,,1,0,0.0,1,1.0,1,2.0,2.0,2,1,2,0,1,1.0,2.0,2,2,2,0,1,2,2.0,2.0,2,2.0,0.5,34,1.0931263858093123,-0.1437351881058397
35,35,35,1,2.0,1,2.0,1,1,2,1,1,2,2,0,1,1,1,0,1,2.0,1,1,1,2,1,2,2,1,1,2,1,1,2,1,2.0,0.0,2,1,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2.0,1,0,0,2,2,2,2.0,1,1,0,0.0,1,2.0,1,2,1.0,2,,0,0.0,3.0,2,2,1,2,2,2.0,3.0,1,1,1,1,2,1,2.0,2.0,2,2.0,0.5,35,1.087058823529412,-0.2799405856036754
36,36,36,1,2.0,1,1.0,1,0,0,1,1,0,2,1,1,1,1,1,1,2.0,2,1,2,2,1,2,1,1,1,1,2,1,0,2,1.0,0.0,2,2,2,0,1,1,0,2,1,1,0,1,1,2,1,2,2,2,1,2.0,1,0,3,1,2,1,2.0,1,2,2,2.0,1,3.0,2,1,2.0,1,2.0,1,2.0,1.0,1,1,1,2,2,2.0,1.0,1,1,2,2,1,1,2.0,2.0,0,2.0,0.5,36,1.09375,-0.3029562930142337
37,37,37,1,1.0,2,2.0,2,2,2,1,1,1,1,1,1,2,1,0,1,3.0,1,2,1,2,0,1,2,1,2,1,1,1,1,2,2.0,3.0,2,0,1,1,2,1,2,1,0,1,2,2,1,1,1,1,1,1,1,0.0,1,1,2,1,2,1,3.0,2,2,0,1.0,2,2.0,0,2,2.0,2,2.0,1,1.0,2.0,2,0,1,2,2,2.0,3.0,2,1,1,0,1,1,0.0,2.0,2,2.0,0.4,37,1.1607929515418502,-0.0602526810278272
38,38,38,2,3.0,0,1.0,0,1,1,2,1,2,2,2,2,1,1,2,2,1.0,1,1,1,2,2,0,2,1,1,1,2,2,1,1,2.0,0.0,1,2,3,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,1,0.0,2,1,3,1,2,2,0.0,1,1,2,2.0,1,3.0,2,1,2.0,2,2.0,1,1.0,0.0,0,2,2,2,2,2.0,1.0,1,0,2,2,2,1,2.0,0.0,1,3.0,0.5,38,1.0880195599022005,-0.103536373519906
39,39,39,1,2.0,2,2.0,0,1,2,1,2,0,1,1,1,2,1,1,1,1.0,1,1,0,1,1,2,1,1,1,1,1,1,1,0,1.0,1.0,1,1,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,2,1,1.0,2,1,1,1,2,0,1.0,1,1,1,0.0,1,2.0,2,2,1.0,0,1.0,1,2.0,2.0,0,1,2,1,1,2.0,2.0,1,1,1,1,1,2,2.0,2.0,1,1.0,0.5,39,1.0774818401937043,-0.1064846156176052
40,40,40,2,1.0,1,2.0,1,1,1,0,1,1,2,1,0,1,1,1,1,1.0,1,0,1,2,1,2,1,1,2,1,1,2,1,1,2.0,2.0,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,0,2,2,2.0,1,1,0,1,1,2,1.0,1,1,1,1.0,0,1.0,1,1,2.0,0,0.0,2,2.0,2.0,1,1,1,1,1,1.0,1.0,1,1,2,2,1,1,1.0,2.0,2,0.0,0.6,40,1.044077134986226,-0.2835143880991066
41,41,41,2,1.0,2,2.0,1,1,1,2,2,2,2,1,0,1,1,1,1,2.0,1,1,1,2,1,0,2,2,0,1,1,2,2,1,2.0,2.0,2,0,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2.0,2,2,0,1,2,1,1.0,2,1,2,0.0,0,3.0,2,1,2.0,1,3.0,1,2.0,2.0,1,1,2,2,1,0.0,2.0,1,2,2,0,2,1,2.0,0.0,2,2.0,0.4,41,1.1036866359447004,-0.1409239571861053
42,42,42,2,2.0,1,3.0,1,1,1,2,1,2,1,2,2,1,0,1,1,2.0,1,1,0,1,2,1,1,2,2,1,1,2,1,2,2.0,1.0,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,0,1,1.0,1,2,1,1,2,1,0.0,1,2,1,2.0,1,2.0,1,1,2.0,1,0.0,2,2.0,0.0,1,1,1,1,1,2.0,1.0,0,1,1,1,0,0,2.0,3.0,1,2.0,0.6,42,1.0521978021978022,-0.2218704469501552
