0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,seed,complex_param
9.0,7,7,7,6,8,,0,8,8,8,9.0,7,,7,8,3.0,8,8,3,8,8,0,8,,7,0,9.0,0.0,,8,5,8,9,0,8,8,8,3.0,7,8,6,6,,4,8,7,2,8,6,7,8,0,7,0,9.0,1,0.0,9,8,9.0,,8,9,8,7,0,,9,,,9.0,,,0,0,14
11.0,8,9,8,8,10,,8,8,5,0,10.0,7,,8,9,,6,9,0,9,10,9,9,,9,0,10.0,,,9,9,9,0,0,3,9,9,,8,0,9,7,,10,9,7,9,9,8,9,9,10,9,0,0.0,9,10.0,9,9,0.0,11.0,9,10,10,8,10,10.0,5,1.0,0.0,,,,6,1,14
4.0,0,1,6,6,7,,7,6,6,7,8.0,5,,7,7,,7,0,5,7,7,8,6,5.0,6,6,0.0,,7.0,0,7,0,7,7,7,0,4,,1,7,5,6,7.0,7,7,0,7,7,6,6,7,8,0,7,8.0,7,8.0,7,4,2.0,,7,7,7,6,0,8.0,8,0.0,,,8.0,4.0,7,2,14
10.0,8,1,7,8,9,0.0,7,0,8,2,10.0,7,,8,9,0.0,9,9,7,9,9,9,9,,0,8,10.0,,,8,0,9,9,6,9,0,8,,8,8,8,7,,9,0,8,8,0,7,0,9,5,9,8,9.0,8,9.0,9,9,8.0,10.0,9,9,6,8,9,10.0,5,0.0,,,,,9,3,14
11.0,9,5,8,0,10,,9,9,9,9,8.0,8,6.0,0,3,,10,10,8,10,10,10,10,,9,8,11.0,,0.0,10,10,10,5,9,10,10,0,,0,10,9,7,0.0,10,9,9,0,0,9,9,9,7,9,0,1.0,9,10.0,10,10,10.0,9.0,10,10,10,9,11,11.0,10,11.0,,0.0,,,10,4,14
2.0,6,6,6,6,7,,7,6,6,0,8.0,0,,7,8,,7,8,5,7,7,8,7,,0,0,8.0,,,7,7,7,5,0,0,7,0,,6,4,7,6,,1,1,6,7,5,6,7,7,8,7,7,8.0,7,0.0,0,7,9.0,9.0,7,0,8,7,4,,8,8.0,8.0,,,,5,5,14
0.0,7,13,13,13,14,,13,14,13,13,12.0,9,0.0,13,14,,14,5,12,14,14,14,11,,13,9,15.0,,0.0,14,14,0,15,14,14,14,13,0.0,13,14,13,12,,14,14,13,12,14,1,8,14,14,13,13,0.0,0,15.0,4,2,15.0,0.0,14,14,14,0,15,,14,,,,0.0,15.0,14,6,14
10.0,7,0,7,7,9,,8,7,8,8,9.0,0,0.0,8,9,,9,9,8,2,9,0,8,,8,6,10.0,,7.0,8,8,8,9,8,9,8,8,,4,8,8,7,,9,8,0,8,9,4,0,0,0,8,5,9.0,0,10.0,9,9,10.0,10.0,8,9,0,7,9,,9,6.0,,,,,9,7,14
10.0,0,9,0,8,1,,9,9,7,9,5.0,0,,8,9,0.0,4,9,0,9,9,8,9,,9,8,10.0,,,9,7,0,9,9,0,0,9,,8,9,2,7,,10,0,8,8,9,8,8,9,10,8,9,10.0,9,10.0,6,9,10.0,,9,10,10,8,10,,1,0.0,,3.0,,,9,8,14
5.0,4,6,0,6,7,,6,6,6,1,7.0,5,,6,7,,0,3,5,7,7,4,6,1.0,0,0,8.0,,,0,0,0,7,7,7,7,6,,6,7,6,5,,7,6,5,6,7,0,7,7,7,6,6,7.0,6,7.0,7,7,5.0,8.0,7,0,4,5,7,7.0,7,8.0,,,4.0,,0,9,14
10.0,1,0,0,5,9,0.0,8,8,8,9,9.0,8,,8,9,,9,9,7,0,0,10,8,,7,0,9.0,,,8,6,8,9,9,9,9,6,,7,9,0,2,,0,7,8,8,9,7,8,9,9,9,8,9.0,8,4.0,9,0,10.0,10.0,8,9,1,8,9,0.0,9,10.0,,,,,8,10,14
,10,0,9,9,11,4.0,10,11,0,10,11.0,8,,10,11,,2,4,9,11,0,11,8,,10,0,11.0,,,0,11,11,11,11,11,11,10,,10,11,10,9,,11,10,10,0,6,9,10,11,11,11,10,11.0,10,0.0,11,11,,5.0,11,11,0,10,11,,10,7.0,0.0,0.0,,,11,11,14
12.0,10,11,10,9,11,,0,0,8,10,6.0,9,5.0,0,11,,0,11,10,11,11,11,0,8.0,9,0,12.0,,0.0,10,10,11,11,10,11,10,0,,10,11,10,9,,0,11,10,8,11,9,10,11,11,11,10,2.0,0,12.0,11,11,2.0,12.0,10,12,11,7,12,12.0,12,12.0,,,5.0,,11,12,14
,9,9,8,0,10,,10,10,10,9,11.0,8,,0,7,,10,10,6,11,11,11,0,3.0,10,5,11.0,,,10,0,10,0,10,11,10,10,,5,10,9,10,3.0,11,10,10,0,11,9,10,0,11,10,10,7.0,9,11.0,11,11,,,10,11,11,9,5,,0,11.0,,0.0,9.0,0.0,10,13,14
8.0,2,0,5,5,7,0.0,6,0,6,6,3.0,1,,6,4,,4,6,5,7,4,7,6,,6,5,7.0,,,6,6,7,0,6,7,6,2,,6,7,4,5,0.0,7,6,0,5,7,5,6,6,7,6,0,7.0,6,7.0,7,7,8.0,8.0,6,7,7,6,8,0.0,7,,8.0,,0.0,5.0,0,14,14
9.0,7,8,7,7,8,,6,4,0,7,8.0,5,,7,8,,7,0,7,8,8,8,8,,0,6,9.0,,,0,1,8,8,8,0,0,7,,7,8,7,0,,6,8,6,7,8,6,1,0,8,8,7,0.0,8,9.0,0,8,3.0,9.0,7,9,8,7,9,9.0,9,9.0,,,,,8,15,14
6.0,4,0,3,3,0,,4,4,4,4,5.0,4,5.0,4,5,3.0,3,5,3,5,5,5,3,,2,2,0.0,,,5,4,4,5,5,2,5,4,,4,4,3,0,,5,4,4,0,5,0,4,5,5,0,0,5.0,4,6.0,5,0,6.0,6.0,5,5,2,4,1,,1,6.0,,,,0.0,5,16,14
,9,7,8,9,6,,9,9,8,1,10.0,8,,0,10,0.0,10,0,8,7,10,10,9,,9,8,10.0,0.0,,1,10,9,5,6,0,10,9,1.0,9,10,9,8,,9,9,9,9,7,0,9,10,10,10,9,8.0,9,10.0,10,10,0.0,,10,9,10,9,10,0.0,0,0.0,,,,,8,17,14
2.0,5,6,6,5,7,,0,7,6,6,3.0,6,7.0,5,7,0.0,4,7,5,7,7,8,1,,6,6,8.0,,,7,7,7,8,2,7,7,7,,6,7,0,6,,0,7,5,6,0,6,6,4,7,7,6,7.0,0,,0,0,8.0,8.0,7,8,7,6,7,,8,,0.0,,,0.0,7,18,14
,0,10,9,7,11,0.0,10,10,9,10,11.0,7,0.0,0,11,,10,11,9,10,11,11,10,,8,0,11.0,,9.0,10,9,10,11,6,10,10,10,3.0,9,10,9,6,,11,10,0,0,11,8,10,10,11,10,10,11.0,5,0.0,11,0,,0.0,10,11,11,1,11,,11,,,,,,10,19,14
0.0,12,3,11,8,0,11.0,13,13,11,13,14.0,0,,13,14,,14,14,10,1,0,14,13,,12,13,8.0,,,12,13,13,0,13,14,14,12,0.0,12,13,13,12,,14,3,13,13,0,12,12,14,14,14,13,14.0,13,14.0,14,0,0.0,,13,14,13,9,14,,13,14.0,,0.0,,,14,20,14
10.0,7,7,0,1,9,,2,8,8,0,9.0,5,0.0,0,7,,9,9,0,9,3,9,0,0.0,7,7,9.0,,10.0,5,6,0,9,8,8,9,8,,8,8,8,8,0.0,7,7,8,6,2,7,7,8,9,8,8,9.0,8,0.0,9,9,10.0,10.0,8,9,9,8,9,,9,10.0,,,,,9,21,14
,8,8,7,7,9,,8,7,7,0,9.0,7,,8,0,0.0,6,9,7,6,9,9,8,2.0,8,7,9.0,2.0,,8,8,0,0,6,3,1,8,,7,8,8,7,,5,8,1,8,0,7,8,0,9,8,8,9.0,8,9.0,9,9,,,0,0,9,8,9,6.0,9,,,,0.0,,5,22,14
8.0,6,6,5,0,7,,6,0,0,6,7.0,5,5.0,6,7,,7,7,5,0,7,4,0,,6,5,8.0,1.0,,6,7,7,7,0,7,2,0,4.0,6,7,6,5,,7,6,0,5,4,6,6,7,7,6,7,7.0,7,8.0,0,7,8.0,8.0,7,7,7,6,8,,1,,,,5.0,3.0,0,23,14
,8,8,7,7,9,,8,8,7,8,9.0,8,,8,9,0.0,9,9,6,9,9,9,0,0.0,8,3,3.0,,0.0,8,8,7,9,9,2,0,0,9.0,7,8,8,7,,9,8,8,8,9,7,6,9,9,8,4,9.0,0,0.0,9,9,,,9,9,8,0,5,,9,6.0,,,,,0,24,14
0.0,5,8,7,8,9,0.0,5,8,8,9,,7,0.0,8,2,,9,9,1,9,9,6,9,,8,8,,9.0,0.0,9,9,9,0,9,9,9,9,,7,9,8,8,0.0,9,2,8,8,9,8,9,9,9,0,9,,9,,0,9,0.0,,9,9,9,0,4,,9,,9.0,,,2.0,1,25,14
10.0,6,0,0,0,9,,8,8,8,9,10.0,7,,9,9,,9,7,7,9,9,9,8,,9,0,10.0,,,5,9,9,0,9,9,9,0,,0,0,8,8,,9,8,8,8,9,8,7,9,9,9,0,8.0,9,6.0,9,0,4.0,10.0,2,9,9,8,10,10.0,9,10.0,,,,,9,26,14
,8,3,8,8,1,0.0,9,2,8,9,10.0,8,,0,6,,10,0,8,9,9,0,1,,7,8,10.0,5.0,,7,9,9,10,9,9,9,9,,9,9,8,8,,0,9,9,8,2,7,0,9,10,9,9,10.0,9,10.0,9,9,0.0,,9,10,9,8,0,0.0,10,10.0,0.0,3.0,,,9,27,14
0.0,7,7,2,6,8,,7,8,7,7,8.0,4,0.0,7,8,,3,8,0,8,8,8,5,,7,6,0.0,,,8,0,8,8,8,0,8,7,,7,8,7,7,,8,7,7,5,8,6,6,8,0,0,7,0.0,8,9.0,0,8,3.0,9.0,3,9,8,7,9,3.0,8,9.0,,,,,8,28,14
11.0,8,9,8,9,4,,0,8,0,2,10.0,9,,9,10,,10,6,7,10,10,10,9,,9,9,6.0,,,10,10,10,0,10,10,10,9,,9,10,0,9,7.0,0,10,9,6,0,0,9,10,10,0,10,10.0,9,11.0,8,10,11.0,11.0,10,0,10,9,8,,10,11.0,11.0,10.0,,,0,29,14
12.0,10,10,9,6,11,,10,10,10,0,11.0,10,,10,11,,11,11,9,0,11,11,10,,0,9,11.0,,,0,11,11,11,0,11,1,10,,9,2,10,0,,2,10,10,0,11,9,10,8,11,10,10,11.0,10,11.0,11,0,10.0,12.0,11,8,11,10,11,0.0,11,12.0,,,,0.0,11,30,14
0.0,7,8,7,8,9,,0,5,8,8,9.0,6,,0,9,,0,8,7,9,8,1,7,,8,7,9.0,,0.0,0,6,9,9,8,9,8,0,,8,8,8,7,,6,8,7,7,9,7,8,0,3,2,8,9.0,8,9.0,5,9,9.0,0.0,8,9,9,8,9,,9,0.0,,,,,8,31,14
10.0,0,8,7,7,9,7.0,0,0,8,8,9.0,0,,8,9,,9,8,7,8,0,9,0,,0,7,9.0,7.0,10.0,8,0,9,9,3,8,9,8,,8,8,8,6,,9,0,7,8,9,7,8,8,9,8,2,9.0,8,9.0,4,8,10.0,10.0,8,9,8,7,9,,9,5.0,,,0.0,,6,32,14
