0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,seed,complex_param,EPH,corr
,1,2,2,1,2,2.0,0,2,2,2,2.0,1,,2,2,,2,2,1,2,1,0,2,,2,0,,0.0,2.0,2,1,2,2.0,0,2,2,2,,1,2,1,1,,2,2,1,2,2,1,2,1,0,2,0,2.0,2,0.0,1,2,2.0,2.0,2,2.0,2,1,0.0,2.0,2,2.0,,,,2.0,0,0,7,1.3154172560113153,-0.22676066136992967
2.0,1,1,1,1,2,,1,1,1,0,2.0,1,,1,2,2.0,2,1,0,2,2,2,2,,2,0,2.0,,2.0,2,2,2,0.0,0,2,1,2,,2,0,2,2,,2,2,1,2,2,1,2,2,2,1,0,0.0,1,1.0,2,2,0.0,2.0,2,2.0,2,1,1.0,2.0,2,2.0,0.0,,,,2,1,7,1.2860998650472335,-0.3365182225475808
2.0,0,2,1,1,1,2.0,2,2,1,2,2.0,1,2.0,1,2,,2,0,1,2,2,2,2,,2,1,0.0,1.0,2.0,0,2,0,2.0,2,2,0,2,2.0,1,2,1,1,,2,2,0,1,2,1,1,2,2,0,2,2.0,1,2.0,2,2,,,2,2.0,2,1,0.0,2.0,2,0.0,2.0,,,,2,2,7,1.2490272373540856,-0.4087536812361749
2.0,1,2,1,1,2,0.0,1,0,1,2,2.0,1,2.0,1,2,0.0,2,2,1,2,2,2,2,,0,1,2.0,,1.0,2,0,2,2.0,2,2,0,2,2.0,1,2,2,1,,2,0,1,1,0,1,0,2,2,2,2,2.0,2,2.0,2,2,,,2,2.0,2,2,2.0,2.0,2,0.0,,,,2.0,2,3,7,1.245382585751979,-0.37978525550537107
2.0,1,1,1,0,2,2.0,1,2,2,1,2.0,1,2.0,0,2,,2,2,1,2,2,2,2,,1,1,2.0,,0.0,1,2,2,2.0,1,2,2,0,2.0,0,1,2,1,0.0,2,2,2,0,0,1,1,2,2,2,0,2.0,1,2.0,2,2,,,2,2.0,2,1,2.0,2.0,2,2.0,,0.0,,,2,4,7,1.2568093385214008,-0.4486037474837819
1.0,1,1,1,1,2,2.0,1,1,1,0,2.0,0,2.0,2,2,,2,2,1,2,2,2,1,,0,0,2.0,,2.0,2,1,2,1.0,0,0,2,0,2.0,1,2,2,1,1.0,2,1,1,1,2,1,2,2,2,2,2,2.0,2,0.0,0,2,2.0,2.0,2,0.0,2,1,2.0,2.0,2,2.0,2.0,,,2.0,2,5,7,1.2328947368421053,-0.4619354158576282
0.0,2,2,2,2,2,3.0,2,2,2,1,3.0,1,0.0,1,2,,3,2,2,3,3,3,2,3.0,1,1,3.0,3.0,0.0,2,2,0,3.0,2,2,2,3,0.0,2,2,2,2,3.0,3,3,2,1,2,2,2,1,2,2,2,0.0,0,3.0,3,3,3.0,0.0,3,3.0,2,0,3.0,2.0,3,2.0,3.0,,0.0,3.0,2,6,7,1.3646408839779005,-0.2520740206318354
2.0,1,0,1,1,2,,2,1,2,1,2.0,0,0.0,2,2,,2,2,1,2,2,0,2,,2,1,,,2.0,2,2,2,2.0,2,2,2,2,,1,2,2,1,2.0,2,1,0,1,1,1,0,0,0,1,1,2.0,0,2.0,2,2,,,1,2.0,0,1,2.0,2.0,2,2.0,2.0,,,,2,7,7,1.268041237113402,-0.4147963782276469
2.0,0,2,0,1,2,2.0,1,1,1,1,2.0,0,2.0,1,2,0.0,2,2,0,2,2,2,1,,1,1,2.0,,2.0,2,2,0,1.0,2,0,0,2,2.0,1,2,1,1,,2,0,1,1,2,1,1,2,2,2,2,2.0,1,2.0,2,2,2.0,,2,2.0,2,1,2.0,1.0,2,0.0,2.0,,,2.0,2,8,7,1.249367088607595,-0.5553555476934005
2.0,1,1,0,1,2,2.0,1,1,1,2,2.0,1,2.0,1,2,,0,2,1,1,2,2,1,,0,0,2.0,,2.0,0,0,0,2.0,2,2,2,1,2.0,1,2,1,1,2.0,2,1,1,1,1,0,2,2,2,2,1,2.0,1,2.0,2,2,2.0,,2,0.0,2,1,2.0,2.0,2,2.0,2.0,,2.0,2.0,0,9,7,1.22264631043257,-0.6884234136228093
2.0,1,0,0,1,2,0.0,1,2,1,2,2.0,2,,2,2,,2,2,1,0,0,2,2,,1,0,2.0,,2.0,1,1,2,2.0,2,2,2,1,,1,2,0,1,,0,1,1,1,2,1,1,2,2,2,1,2.0,2,2.0,2,0,2.0,,2,2.0,2,1,2.0,0.0,2,2.0,2.0,,,2.0,2,10,7,1.2559681697612732,-0.46980583226250494
2.0,1,0,1,1,2,2.0,1,2,0,2,2.0,1,2.0,2,2,,2,2,1,2,0,2,2,,1,0,2.0,,2.0,0,2,2,2.0,2,2,2,1,2.0,2,2,1,1,2.0,2,1,1,0,2,1,1,1,2,2,2,2.0,1,0.0,2,2,2.0,,2,2.0,0,1,2.0,2.0,2,2.0,0.0,0.0,2.0,,2,11,7,1.2276843467011642,-0.46402557901775104
2.0,1,2,1,1,2,2.0,0,0,1,1,1.0,1,2.0,0,2,,0,2,1,2,2,2,0,2.0,1,0,1.0,,0.0,2,2,2,1.0,2,2,2,0,2.0,1,1,1,1,,0,2,1,1,2,1,1,2,2,2,1,2.0,0,1.0,2,2,2.0,,2,2.0,2,1,2.0,2.0,2,2.0,2.0,,,2.0,2,12,7,1.2261753494282084,-0.5292017122069849
2.0,1,1,1,0,2,2.0,2,2,2,2,2.0,1,2.0,0,2,,2,2,1,2,2,2,0,,1,1,2.0,,,2,0,2,0.0,2,2,2,2,,2,2,1,1,,2,1,2,0,2,2,2,0,2,2,2,2.0,2,2.0,2,2,,,2,2.0,2,1,2.0,,0,2.0,,0.0,,0.0,2,13,7,1.3369565217391304,-0.35794661758854684
3.0,1,0,1,1,2,0.0,2,0,2,2,2.0,1,3.0,2,2,,2,2,1,1,2,2,2,3.0,2,1,3.0,3.0,3.0,2,2,2,0.0,2,2,2,2,3.0,2,2,1,1,0.0,2,2,0,2,2,1,2,2,1,2,0,2.0,2,2.0,2,2,3.0,3.0,2,2.0,2,1,2.0,0.0,2,2.0,3.0,,0.0,3.0,0,14,7,1.3238095238095238,-0.4562204421840233
2.0,1,2,1,1,1,2.0,1,1,0,1,2.0,1,2.0,1,2,,2,0,1,2,2,2,2,,0,1,2.0,,2.0,0,2,2,2.0,2,0,0,1,1.0,1,2,1,0,,2,2,1,1,2,1,2,0,2,1,1,0.0,2,2.0,0,2,2.0,1.0,2,2.0,2,1,2.0,2.0,2,2.0,,,,2.0,2,15,7,1.2101827676240209,-0.45968722669564854
