0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,complex_param
,,0,8.0,13,8,2,16,17,2.0,9,,16,0,3.0,12,0,,13.0,2,11,17.0,0.0,13.0,0.0,,,15,15.0,13.0,18,21.0,12.0,0.0,5,14,,27.0,8,15,12,8,19.0,12,11,17,14,17,2,16.0,16,16.0,10.0,,18,6.0,15.0,14.0,15,4,0.0,13,13,17,13.0,5,11.0,14,0,20.0,19.0,,22.0,,,11.0,0,17,18,15,0.0,14.0,12,,8.0,18.0,20.0,15,4.0,,27.0,9.0,0,12
20.0,,16,,17,11,17,11,18,20.0,19,23.0,17,15,16.0,3,15,6.0,,10,15,16.0,22.0,,13.0,18.0,19.0,16,3.0,9.0,11,21.0,20.0,13.0,18,16,,,3,0,14,11,19.0,6,0,15,18,10,19,17.0,9,20.0,7.0,0.0,0,21.0,0.0,28.0,14,0,27.0,14,8,10,,7,24.0,6,5,,13.0,,23.0,0.0,0.0,5.0,6,7,10,11,8.0,0.0,4,24.0,0.0,10.0,,12,,,,,1,12
13.0,,0,,18,17,10,19,18,6.0,13,,4,0,0.0,11,0,,1.0,10,7,0.0,32.0,0.0,23.0,18.0,,2,15.0,10.0,18,24.0,14.0,32.0,14,0,2.0,,6,16,13,16,21.0,12,12,16,18,4,15,9.0,15,22.0,20.0,,11,25.0,0.0,23.0,17,5,,12,12,17,19.0,11,2.0,14,14,,21.0,0.0,31.0,,23.0,,19,16,12,13,,20.0,11,,0.0,10.0,22.0,18,30.0,26.0,17.0,,2,12
17.0,30.0,14,18.0,16,11,17,22,18,0.0,9,30.0,21,13,17.0,5,16,,8.0,12,13,17.0,36.0,,31.0,30.0,,15,9.0,11.0,8,31.0,,28.0,15,15,38.0,,14,11,11,19,36.0,9,14,0,21,20,20,6.0,18,19.0,0.0,19.0,12,0.0,39.0,,0,21,,22,13,21,23.0,9,12.0,13,0,,0.0,,39.0,35.0,17.0,2.0,23,2,1,6,,17.0,12,,0.0,0.0,,10,35.0,20.0,0.0,,3,12
44.0,,15,,16,7,14,10,12,10.0,0,,13,0,0.0,12,10,,26.0,13,14,16.0,44.0,20.0,12.0,27.0,,15,17.0,7.0,13,,17.0,,15,0,43.0,,2,15,14,14,21.0,14,8,2,16,0,16,22.0,3,19.0,21.0,0.0,15,34.0,8.0,18.0,17,15,43.0,7,0,12,32.0,10,27.0,13,0,,9.0,10.0,,16.0,,27.0,15,15,16,5,0.0,17.0,15,,11.0,20.0,12.0,14,,0.0,23.0,19.0,4,12
25.0,,16,32.0,17,17,3,19,8,7.0,0,,20,17,19.0,16,14,16.0,7.0,8,0,17.0,,,17.0,34.0,,18,0.0,21.0,18,,,15.0,0,19,,0.0,18,18,0,7,24.0,17,15,18,20,7,21,0.0,7,22.0,0.0,,0,5.0,16.0,25.0,13,18,24.0,10,17,22,,2,15.0,17,18,,6.0,15.0,11.0,,0.0,21.0,7,7,12,18,8.0,19.0,17,,20.0,23.0,25.0,19,,31.0,28.0,19.0,5,12
0.0,14.0,1,17.0,11,13,14,16,17,18.0,17,15.0,10,15,1.0,12,14,2.0,11.0,5,0,16.0,19.0,0.0,26.0,,19.0,15,8.0,16.0,0,18.0,22.0,,17,15,,0.0,0,0,14,15,17.0,16,15,15,13,16,5,18.0,13,,16.0,26.0,15,0.0,19.0,,11,0,,17,12,17,0.0,11,9.0,14,14,,14.0,,7.0,14.0,24.0,,16,12,10,8,,7.0,13,,3.0,18.0,7.0,8,6.0,,,,6,12
14.0,,9,,19,17,12,5,20,24.0,22,17.0,23,13,23.0,0,14,,0.0,12,13,11.0,0.0,,25.0,18.0,22.0,22,23.0,22.0,15,6.0,,,21,22,,0.0,3,2,14,18,27.0,0,15,8,21,19,15,5.0,19,25.0,26.0,16.0,16,4.0,,24.0,0,20,23.0,10,0,22,,13,0.0,19,21,5.0,22.0,,6.0,30.0,,16.0,22,18,0,20,,23.0,0,2.0,18.0,26.0,23.0,5,28.0,20.0,,,7,12
1.0,0.0,17,0.0,14,15,16,18,23,21.0,19,0.0,0,12,11.0,14,8,18.0,,0,15,4.0,20.0,10.0,8.0,21.0,,12,24.0,20.0,22,19.0,,,21,20,,10.0,19,14,16,5,25.0,18,17,4,13,1,18,24.0,0,,27.0,,3,20.0,,27.0,0,17,,18,12,19,27.0,3,,13,21,12.0,23.0,,17.0,22.0,14.0,12.0,22,18,22,2,0.0,23.0,12,14.0,22.0,26.0,26.0,0,,0.0,,,8,12
,,9,0.0,11,8,0,5,7,8.0,10,20.0,13,5,15.0,11,13,6.0,21.0,9,0,10.0,19.0,,11.0,21.0,0.0,8,0.0,10.0,15,19.0,,,12,12,,6.0,0,10,10,12,14.0,5,10,0,0,14,7,13.0,14,,5.0,7.0,14,6.0,12.0,16.0,15,15,10.0,0,12,13,1.0,2,,13,13,8.0,7.0,,18.0,6.0,,,0,15,16,11,11.0,17.0,10,21.0,16.0,13.0,15.0,14,,20.0,,18.0,9,12
