0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,seed,simple_param,EPH,corr
5.0,5.0,1.0,5.0,4.0,,5.0,0.0,1.0,2.0,2.0,2.0,2.0,,4.0,6.0,6.0,3.0,5.0,2.0,3.0,3.0,0.0,1.0,1.0,7.0,0.0,,0.0,4.0,2.0,5.0,3.0,,0.0,6.0,,3.0,,5,3.0,6.0,3.0,,1.0,6.0,,6.0,5.0,6.0,1.0,4.0,0.0,3.0,0.0,1.0,5.0,0.0,7.0,3.0,2.0,,5.0,6.0,2.0,3.0,0.0,7.0,,6.0,,2.0,5.0,1.0,0.0,0,0.02,3.259222333000997,-0.000659570172180718
6.0,3.0,5.0,3.0,1.0,2.0,,3.0,7.0,3.0,0.0,5.0,4.0,4.0,4.0,2.0,6.0,3.0,7.0,0.0,3.0,6.0,2.0,5.0,,3.0,0.0,,4.0,,3.0,4.0,,0.0,0.0,6.0,3.0,2.0,,3,0.0,2.0,7.0,,5.0,5.0,,5.0,4.0,2.0,2.0,3.0,3.0,2.0,0.0,0.0,4.0,,,5.0,0.0,2.0,6.0,4.0,2.0,3.0,1.0,3.0,1.0,5.0,0.0,,,5.0,6.0,1,0.02,3.13510747185261,-0.09950368410038707
,0.0,2.0,3.0,3.0,1.0,,3.0,,1.0,3.0,3.0,3.0,,5.0,,,,0.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,0.0,6.0,4.0,0.0,2.0,0.0,4.0,1.0,2.0,0.0,3.0,,2,2.0,1.0,6.0,4.0,,2.0,0.0,6.0,1.0,1.0,3.0,5.0,4.0,0.0,1.0,2.0,4.0,4.0,3.0,2.0,6.0,4.0,1.0,3.0,,3.0,0.0,6.0,,0.0,4.0,,5.0,5.0,4.0,2,0.02,2.7634297520661155,-0.24344564247511125
5.0,8.0,7.0,6.0,4.0,7.0,0.0,4.0,0.0,2.0,4.0,,5.0,,7.0,,0.0,7.0,7.0,4.0,6.0,5.0,7.0,7.0,6.0,0.0,6.0,,3.0,3.0,6.0,0.0,6.0,8.0,2.0,6.0,0.0,2.0,3.0,4,5.0,8.0,,,6.0,0.0,3.0,2.0,0.0,3.0,0.0,8.0,,,1.0,,1.0,5.0,1.0,2.0,7.0,6.0,7.0,,6.0,4.0,6.0,7.0,4.0,0.0,6.0,8.0,,,7.0,3,0.02,3.657843137254902,-0.07032908755581625
6.0,2.0,4.0,3.0,0.0,2.0,,3.0,,1.0,3.0,,5.0,5.0,0.0,5.0,5.0,5.0,7.0,3.0,8.0,2.0,7.0,,4.0,8.0,2.0,3.0,,0.0,2.0,4.0,4.0,6.0,,1.0,3.0,0.0,3.0,0,1.0,8.0,5.0,0.0,6.0,6.0,6.0,0.0,0.0,1.0,3.0,7.0,7.0,3.0,0.0,3.0,6.0,,4.0,5.0,,,5.0,8.0,5.0,4.0,5.0,5.0,6.0,1.0,8.0,0.0,,,5.0,4,0.02,3.6241345202769537,-0.18049157389309264
4.0,4.0,3.0,2.0,6.0,,7.0,5.0,1.0,4.0,0.0,9.0,0.0,,4.0,,,,1.0,3.0,6.0,3.0,2.0,3.0,,0.0,0.0,2.0,9.0,,4.0,8.0,7.0,5.0,0.0,0.0,4.0,0.0,,4,6.0,9.0,5.0,1.0,7.0,5.0,3.0,7.0,3.0,4.0,9.0,4.0,6.0,7.0,5.0,5.0,4.0,0.0,0.0,7.0,3.0,5.0,6.0,0.0,5.0,6.0,9.0,,,5.0,8.0,,8.0,6.0,8.0,5,0.02,3.7902097902097904,-0.16668018056243836
0.0,7.0,6.0,6.0,4.0,5.0,9.0,6.0,8.0,4.0,4.0,7.0,6.0,0.0,6.0,5.0,7.0,8.0,,5.0,9.0,8.0,5.0,2.0,,8.0,8.0,,8.0,0.0,5.0,8.0,0.0,9.0,,5.0,,9.0,0.0,5,8.0,6.0,2.0,6.0,6.0,9.0,7.0,3.0,,9.0,6.0,2.0,1.0,1.0,6.0,0.0,0.0,6.0,4.0,3.0,4.0,0.0,4.0,,5.0,0.0,,,7.0,3.0,9.0,,0.0,7.0,5.0,6,0.02,3.6440511307767944,0.15192710512693958
6.0,1.0,0.0,1.0,4.0,6.0,,2.0,5.0,1.0,5.0,,0.0,0.0,7.0,4.0,6.0,,2.0,3.0,,,0.0,4.0,,3.0,5.0,7.0,4.0,4.0,5.0,5.0,2.0,5.0,4.0,2.0,4.0,3.0,5.0,2,4.0,6.0,2.0,4.0,5.0,5.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,5.0,2.0,6.0,7.0,7.0,2.0,4.0,0.0,3.0,5.0,3.0,7.0,,,4.0,,,,7,0.02,3.1167002012072436,-0.2862725144428613
,0.0,4.0,0.0,4.0,5.0,4.0,2.0,7.0,3.0,7.0,8.0,0.0,5.0,2.0,4.0,0.0,3.0,3.0,0.0,6.0,7.0,5.0,4.0,6.0,6.0,4.0,,7.0,4.0,4.0,3.0,0.0,,1.0,0.0,0.0,7.0,,2,4.0,2.0,3.0,2.0,4.0,0.0,3.0,2.0,2.0,2.0,8.0,4.0,5.0,,5.0,8.0,3.0,,,4.0,7.0,6.0,5.0,3.0,3.0,1.0,,7.0,,0.0,,4.0,,,8.0,8,0.02,3.6696606786427144,-0.3307167657800904
,2.0,5.0,0.0,3.0,3.0,,3.0,3.0,2.0,3.0,5.0,2.0,8.0,5.0,5.0,2.0,0.0,4.0,2.0,5.0,5.0,6.0,2.0,3.0,0.0,0.0,7.0,8.0,,0.0,0.0,0.0,2.0,4.0,2.0,4.0,4.0,,1,1.0,5.0,4.0,,,5.0,2.0,1.0,5.0,0.0,3.0,3.0,4.0,,6.0,4.0,7.0,4.0,3.0,,5.0,7.0,6.0,0.0,7.0,2.0,4.0,5.0,7.0,4.0,,8.0,,,0.0,9,0.02,3.429718875502008,-0.47719187231112015
