0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,simple_param,EPH,corr
3.0,6.0,0.0,,5.0,4.0,4.0,5.0,1.0,2.0,3.0,2.0,4.0,0.0,2.0,2.0,0.0,3.0,6.0,4.0,5.0,6.0,0.0,6.0,0.0,5.0,6.0,1.0,2.0,5.0,5.0,3.0,1.0,0.0,2.0,2.0,5.0,1.0,3.0,5.0,1.0,3.0,4.0,2.0,2.0,6.0,5.0,4.0,3.0,3.0,4.0,,4.0,5.0,6.0,4.0,,4.0,1.0,,0.0,1.0,6.0,4.0,,2,5.0,,0.0,6.0,2.0,5.0,,5.0,,4.0,0.0,3.0,1.0,3.0,0.0,6.0,6.0,,,3.0,4.0,4.0,5.0,,6.0,6.0,0,0.05,2.738244514106583,-0.24159729895946924
4.0,5.0,4.0,6.0,1.0,5.0,6.0,2.0,4.0,5.0,5.0,4.0,3.0,5.0,,2.0,2.0,1.0,6.0,3.0,5.0,2.0,3.0,6.0,2.0,,5.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,,,2.0,0.0,5.0,2.0,5.0,5.0,0.0,,6.0,5.0,5.0,,5.0,3.0,6.0,0.0,0.0,4.0,0.0,5.0,3.0,0.0,4.0,3.0,1.0,2.0,3.0,3,5.0,1.0,4.0,,2.0,,6.0,0.0,0.0,,2.0,1.0,,4.0,6.0,0.0,3.0,3.0,0.0,3.0,3.0,1.0,4.0,,,,1,0.05,2.63020030816641,-0.03844320016004226
7.0,4.0,0.0,,4.0,3.0,1.0,6.0,4.0,6.0,4.0,6.0,2.0,0.0,0.0,5.0,0.0,1.0,4.0,2.0,4.0,0.0,5.0,0.0,3.0,5.0,3.0,1.0,3.0,7.0,7.0,7.0,,1.0,6.0,0.0,7.0,4.0,3.0,6.0,,7.0,,4.0,3.0,3.0,,3.0,2.0,2.0,,5.0,2.0,5.0,3.0,4.0,0.0,7.0,4.0,4.0,6.0,,1.0,4.0,6.0,2,,5.0,2.0,,4.0,0.0,3.0,5.0,5.0,2.0,4.0,5.0,6.0,5.0,2.0,1.0,5.0,2.0,0.0,3.0,5.0,2.0,,,2.0,,2,0.05,2.9708141321044548,-0.07368985506813285
,,4.0,,4.0,3.0,2.0,2.0,5.0,0.0,4.0,5.0,5.0,4.0,6.0,5.0,6.0,,3.0,2.0,4.0,7.0,5.0,7.0,2.0,5.0,5.0,4.0,4.0,7.0,3.0,6.0,,,5.0,1.0,7.0,7.0,5.0,5.0,4.0,5.0,6.0,1.0,3.0,0.0,5.0,4.0,3.0,2.0,4.0,6.0,0.0,3.0,1.0,0.0,7.0,3.0,0.0,4.0,,5.0,3.0,,5.0,2,3.0,2.0,0.0,6.0,0.0,6.0,1.0,6.0,,5.0,7.0,3.0,3.0,1.0,,4.0,4.0,3.0,0.0,0.0,5.0,2.0,3.0,7.0,0.0,,3,0.05,2.8676236044657095,-0.2781974267299414
6.0,,1.0,4.0,6.0,4.0,4.0,7.0,3.0,4.0,0.0,6.0,7.0,0.0,0.0,6.0,4.0,3.0,1.0,2.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,5.0,3.0,5.0,5.0,7.0,7.0,0.0,,2.0,5.0,3.0,6.0,1.0,4.0,1.0,3.0,4.0,4.0,0.0,4.0,2.0,4.0,,,0.0,6.0,6.0,5.0,4.0,3.0,2.0,7.0,4.0,0.0,4.0,3.0,5,,3.0,0.0,,,3.0,,3.0,5.0,,2.0,2.0,2.0,4.0,0.0,6.0,4.0,5.0,5.0,1.0,5.0,3.0,5.0,0.0,3.0,,4,0.05,2.823343848580442,-0.07156463561652962
4.0,,4.0,3.0,2.0,5.0,4.0,3.0,2.0,1.0,0.0,5.0,5.0,2.0,3.0,4.0,4.0,6.0,2.0,3.0,0.0,1.0,3.0,6.0,,,4.0,3.0,0.0,6.0,2.0,2.0,3.0,5.0,0.0,1.0,5.0,0.0,3.0,6.0,0.0,4.0,1.0,2.0,4.0,5.0,5.0,6.0,5.0,0.0,4.0,,0.0,,0.0,1.0,,4.0,4.0,5.0,4.0,3.0,5.0,6.0,,3,,4.0,4.0,,3.0,5.0,5.0,4.0,0.0,3.0,1.0,3.0,4.0,2.0,,6.0,2.0,6.0,6.0,5.0,1.0,2.0,6.0,,,,5,0.05,2.521462639109698,-0.16329928542376293
0.0,,2.0,,5.0,5.0,2.0,8.0,4.0,7.0,6.0,4.0,6.0,4.0,6.0,4.0,2.0,7.0,6.0,2.0,0.0,6.0,1.0,0.0,4.0,6.0,3.0,4.0,1.0,6.0,0.0,4.0,7.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,8.0,3.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,8.0,,7.0,,1.0,0.0,,,7.0,0.0,3.0,3.0,4.0,1.0,0.0,4,7.0,4.0,3.0,4.0,6.0,8.0,2.0,4.0,8.0,3.0,4.0,4.0,8.0,3.0,5.0,8.0,7.0,3.0,2.0,7.0,6.0,4.0,5.0,8.0,5.0,,6,0.05,3.2538940809968846,-0.20354382983452857
,4.0,4.0,6.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,6.0,4.0,,0.0,4.0,6.0,0.0,1.0,3.0,6.0,0.0,3.0,2.0,,4.0,1.0,4.0,,2.0,5.0,5.0,3.0,4.0,3.0,5.0,0.0,4.0,1.0,3.0,5.0,2.0,0.0,1.0,5.0,,4.0,6.0,5.0,3.0,,4.0,5.0,1.0,5.0,4.0,,0.0,4.0,6.0,4.0,0.0,1.0,,3,0.0,2.0,2.0,6.0,5.0,,3.0,6.0,,3.0,4.0,2.0,0.0,3.0,6.0,2.0,0.0,3.0,2.0,1.0,3.0,1.0,3.0,,3.0,,7,0.05,2.737678855325914,-0.31212935984075246
,0.0,6.0,0.0,5.0,6.0,6.0,2.0,6.0,3.0,7.0,0.0,0.0,6.0,6.0,2.0,5.0,,4.0,0.0,5.0,2.0,5.0,4.0,9.0,,4.0,8.0,8.0,5.0,2.0,7.0,8.0,8.0,8.0,4.0,4.0,6.0,6.0,1.0,8.0,5.0,9.0,1.0,7.0,5.0,3.0,4.0,7.0,5.0,0.0,4.0,7.0,3.0,6.0,4.0,5.0,8.0,0.0,7.0,9.0,4.0,2.0,5.0,,7,,2.0,7.0,,3.0,9.0,8.0,6.0,,8.0,7.0,2.0,6.0,5.0,0.0,8.0,5.0,9.0,,5.0,6.0,0.0,9.0,0.0,,,8,0.05,3.591614906832298,-0.05736831263441007
6.0,,2.0,0.0,4.0,4.0,0.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,5.0,2.0,0.0,2.0,3.0,5.0,5.0,5.0,0.0,2.0,0.0,4.0,4.0,6.0,,,5.0,3.0,,1.0,0.0,5.0,,4.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,4.0,4.0,2.0,1.0,,4.0,3.0,5.0,6.0,6.0,5.0,,0.0,3.0,3.0,2.0,1,,1.0,4.0,,5.0,1.0,5.0,3.0,,4.0,0.0,5.0,3.0,3.0,,4.0,1.0,4.0,4.0,2.0,1.0,3.0,,2.0,4.0,4.0,9,0.05,2.5399361022364215,-0.22980458725630593
