,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,betha,seed
0,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,0.039,0
1,,0.0,,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,0.023,1
2,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.005,2
3,0.0,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,0.014,3
4,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,0.0,,,0.014,4
5,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,0.023,5
6,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,0.0,,0.014,6
7,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,0.039,7
8,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,1.0,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,0.0,0.023,8
9,0.0,,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,0.039,9
10,0.0,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.008,10
11,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.008,11
12,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.023,12
13,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,0.014,13
14,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.023,14
15,0.0,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.005,15
16,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,0.0,,,,,,0.008,16
17,,,,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.008,17
