,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,betha,seed,EPH,corr
0,0,,,2.0,1.0,1.0,4.0,,,,0.0,,,0.0,5.0,,,,1.0,4.0,,4.0,0.0,,3.0,,6.0,3.0,,,,4.0,4.0,,,,,0.0,,,5.0,,,1.0,,0.0,,,0.0,,1.0,,4.0,,,,,,6.0,,,,,3.0,,0.0,3.0,,0.0,,,0.0,,,,2.0,0.25,0,4.288071065989848,-0.042646894524594206
1,1,,0.0,4.0,,,0.0,0.0,5.0,,0.0,3.0,,0.0,,5.0,,0.0,,5.0,6.0,,,,6.0,,,2.0,,,,,,5.0,,,,,0.0,,2.0,4.0,1.0,3.0,,,6.0,,4.0,,4.0,1.0,,,,,,,,,5.0,,,,,0.0,4.0,3.0,,,,,0.0,0.0,,,0.3,1,3.755771567436209,0.24801687748246304
2,2,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.05,2,1.0,0.0
3,3,0.0,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,0.15,3,1.0,0.0
4,4,,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,0.0,2.0,,0.0,,,0.15,4,2.589041095890411,-0.17407765595569782
5,5,,15.0,,8.0,2.0,,,0.0,0.0,1.0,14.0,,12.0,,16.0,0.0,0.0,15.0,16.0,6.0,,,16.0,9.0,,3.0,8.0,0.0,5.0,,0.0,,,,17.0,12.0,,,,,,15.0,11.0,,,15.0,10.0,7.0,,6.0,12.0,,,0.0,5.0,,,,13.0,12.0,1.0,0.0,0.0,4.0,2.0,,,8.0,,5.0,,,15.0,0.0,11.0,0.2,5,8.985611510791367,0.158926763096836
6,6,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,0.0,,0.15,6,1.0,0.0
7,7,,9.0,,1.0,4.0,13.0,10.0,7.0,3.0,4.0,,7.0,3.0,,0.0,,,6.0,6.0,8.0,,,,0.0,7.0,0.0,2.0,,11.0,,10.0,6.0,13.0,9.0,,2.0,11.0,7.0,,,13.0,8.0,0.0,,,9.0,8.0,0.0,,2.0,,12.0,5.0,,4.0,,12.0,0.0,,9.0,,,4.0,,5.0,9.0,,0.0,0.0,,,,0.0,9.0,10.0,0.25,7,6.7343283582089555,-0.1671925524738295
8,8,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,0.0,0.2,8,1.866412213740458,0.3
9,9,0.0,2.0,,8.0,5.0,,,3.0,5.0,,4.0,,4.0,,6.0,7.0,7.0,4.0,7.0,9.0,,,0.0,,,,4.0,,,,3.0,,7.0,0.0,,,,,5.0,3.0,0.0,6.0,2.0,,,7.0,,3.0,,7.0,1.0,10.0,0.0,,0.0,8.0,0.0,,,0.0,,,1.0,5.0,,0.0,,10.0,,,10.0,,,,7.0,0.25,9,5.581196581196581,-0.054373039059481806
